timestamp,gx,gy,gz,ax,ay,az
0.000000,0.050178,-0.169079,-0.022907,1.491498,1.573528,-9.652527
0.019695,0.041452,-0.152716,-0.009817,1.525627,1.591490,-9.541758
0.039868,-0.110174,-0.259618,-0.001091,1.653162,2.885400,-10.375823
0.059932,0.196350,-0.723221,0.097084,2.020798,5.942043,-15.360458
0.079949,1.900227,-1.572978,0.225802,4.531377,6.500083,-15.210170
0.100105,2.707442,-1.531526,0.664316,-1.005309,0.314346,-4.417614
0.120302,0.706858,-0.066541,1.014473,-0.395777,-0.949625,-0.620909
0.140325,0.113446,-0.619592,0.775581,-1.340013,-2.981799,-15.149097
0.160563,0.070904,-0.438514,0.043633,-0.180824,-2.818938,-8.930429
0.180579,0.000000,-0.282525,-0.143990,-0.838856,-1.109493,-11.094329
0.200635,-0.064359,-0.319613,-0.041452,-0.660427,0.622106,-9.320817
0.220709,-0.076358,-0.183260,-0.061087,-0.250878,2.649490,-10.310559
0.240880,0.124355,-0.158170,-0.097084,0.755629,0.463436,-9.553134
0.261014,0.039270,-0.157080,-0.115628,1.606459,-1.004112,-9.710607
0.281070,-0.035997,-0.164715,0.058905,1.521436,1.807042,-9.915381
0.302345,0.104720,-0.185441,0.063268,0.389789,1.165776,-9.744736
0.321271,0.027271,-0.159261,-0.057814,0.231718,-0.484393,-9.794432
0.341460,-0.020726,-0.172351,-0.003272,-0.009580,0.989143,-9.839339
0.363008,0.080721,-0.155989,-0.057814,0.407153,1.380729,-9.825568
0.382011,0.059996,-0.161443,-0.018544,1.311273,-0.207169,-9.748328
0.401677,-0.009817,-0.135263,-0.003272,1.362167,0.632285,-9.453741
0.421826,0.075267,-0.199622,0.015272,0.753832,1.130449,-9.507629
0.441887,0.058905,-0.189805,-0.011999,0.232916,-0.037123,-10.144704
0.461914,-0.004363,-0.157080,-0.027271,0.272433,0.804727,-9.750125
0.482066,0.066541,-0.158170,-0.041452,0.694556,1.132844,-9.519005
0.502176,0.052360,-0.184350,-0.010908,0.744252,0.141306,-9.969868
0.522284,0.002182,-0.143990,-0.033816,0.938249,0.643063,-9.717792
0.542352,0.046906,-0.161443,-0.035997,1.261577,1.091530,-9.348959
0.562464,0.040361,-0.209440,0.031634,0.411943,0.153880,-9.548344
0.582564,0.015272,-0.202895,-0.054542,0.232317,0.542472,-9.884844
0.602604,0.044724,-0.188714,-0.050178,0.592767,0.965193,-9.787846
0.623102,0.070904,-0.177805,-0.046906,0.740061,0.416135,-9.760902
0.643345,0.043633,-0.165806,-0.022907,1.183738,0.544268,-10.023157
0.662993,0.040361,-0.162534,-0.001091,0.711321,0.732277,-9.770482
0.683082,0.040361,-0.182169,-0.006545,0.547861,0.725691,-9.686058
0.703156,0.045815,-0.159261,0.025089,0.456251,0.533491,-9.423803
0.723251,0.041452,-0.196350,-0.018544,0.335303,0.426912,-9.782457
0.743674,0.056723,-0.163625,-0.073086,0.928669,0.616718,-9.675879
0.762806,0.051269,-0.195259,-0.044724,0.611329,0.529898,-10.344688
0.782954,0.083994,-0.187623,-0.038179,0.943039,0.574206,-9.231603
0.802951,0.037088,-0.158170,-0.054542,0.127535,0.419727,-9.979448
0.823115,0.025089,-0.184350,-0.018544,0.426313,1.037642,-9.713002
0.843138,0.038179,-0.133081,0.007636,0.336500,0.794548,-9.844728
0.863182,0.044724,-0.126536,-0.074176,0.813708,0.036524,-9.587862
0.883211,-0.037088,-0.195259,-0.014181,1.140628,0.251477,-9.789642
0.903452,0.026180,-0.173442,0.032725,0.316741,1.268762,-10.012978
0.923494,0.110174,-0.196350,-0.114537,0.308958,0.274828,-9.541159
0.943606,0.073086,-0.143990,-0.143990,0.832269,0.459245,-9.416019
0.964984,0.002182,-0.176715,0.074176,0.846041,1.246608,-10.280621
0.983853,0.001091,-0.112356,0.013090,0.261656,0.628094,-10.193802
