timestamp,gx,gy,gz,ax,ay,az
0.000000,0.046906,-0.165806,-0.014181,0.183818,0.861608,-9.709409
0.020252,0.052360,-0.173442,-0.014181,0.122745,0.881367,-9.732761
0.040310,0.021817,-0.111265,-0.005454,-0.211360,0.998124,-10.462044
0.060407,0.021817,0.354520,-0.250891,-2.145339,2.944677,-15.507153
0.080460,1.335177,0.110174,-0.623955,0.614921,1.432222,-7.289841
0.100569,0.860665,-0.005454,-0.307614,1.414259,0.846041,-7.100634
0.120621,0.273799,-0.237801,0.313068,1.411265,0.038919,-8.228688
0.140681,0.078540,-0.211621,0.287979,0.440085,-1.159788,-9.865684
0.160851,-0.128718,-0.067632,-0.069813,0.593965,-0.207768,-10.066267
0.181245,-0.040361,-0.218166,0.008727,0.560435,1.243015,-9.514215
0.201047,0.103629,-0.116719,0.022907,0.587379,0.426912,-9.449550
0.221097,0.040361,-0.189805,-0.055632,0.294587,0.241298,-10.489587
0.241170,0.026180,-0.199622,-0.007636,0.735870,1.116678,-9.526789
0.261273,0.058905,-0.239983,-0.053451,0.004790,0.521516,-9.200468
0.281460,0.003272,-0.188714,-0.064359,0.134720,0.310155,-10.351873
0.301499,0.013090,-0.173442,0.002182,0.780776,0.809517,-10.036928
0.321626,0.070904,-0.186532,-0.004363,0.194595,0.508343,-9.392668
0.341691,0.043633,-0.138536,-0.023998,0.572410,0.495769,-9.723779
0.361858,0.005454,-0.174533,0.019635,0.532293,0.499960,-9.629176
0.381927,0.041452,-0.139626,-0.050178,0.160466,0.682581,-9.639954
0.402020,0.074176,-0.153807,0.002182,0.580193,0.410147,-9.623188
0.422104,0.020726,-0.165806,-0.029452,0.440684,0.551453,-9.951306
0.442225,0.039270,-0.162534,-0.003272,0.387394,0.739462,-9.814191
0.462264,0.056723,-0.158170,-0.011999,0.196990,0.309556,-9.489666
0.482352,0.040361,-0.169079,-0.027271,0.394579,0.715512,-9.924961
0.502518,0.049087,-0.163625,-0.001091,0.288001,0.655637,-9.940529
0.522665,0.047997,-0.149444,-0.035997,0.543071,0.367037,-9.453741
0.542641,0.038179,-0.178896,0.007636,0.311951,0.644260,-9.774075
0.562942,0.051269,-0.147262,-0.023998,0.298779,0.600551,-9.871672
0.582864,0.030543,-0.174533,-0.006545,0.308359,0.498763,-9.769285
0.602976,0.040361,-0.163625,-0.028362,0.279619,0.584385,-9.652527
0.623029,0.055632,-0.171260,-0.018544,0.614323,0.560435,-9.627979
0.643082,0.040361,-0.178896,-0.014181,0.292192,0.497565,-9.904005
0.663200,0.038179,-0.161443,-0.023998,0.329315,0.644260,-9.763896
0.683336,0.043633,-0.172351,-0.005454,0.327519,0.508942,-9.661509
0.703408,0.044724,-0.162534,-0.038179,0.288600,0.573607,-9.841734
0.723543,0.043633,-0.171260,-0.006545,0.411345,0.615520,-9.783655
0.743648,0.043633,-0.164715,-0.030543,0.295785,0.608335,-9.816586
0.763784,0.052360,-0.173442,-0.025089,0.501757,0.465831,-9.607022
0.783834,0.031634,-0.177805,-0.006545,0.156874,0.498164,-9.935739
0.803891,0.046906,-0.147262,-0.035997,0.088017,0.818498,-10.062675
0.824011,0.051269,-0.181078,-0.009817,0.513133,0.421523,-9.657916
0.844158,0.030543,-0.177805,-0.022907,0.247286,0.452659,-9.777667
0.864189,0.057814,-0.158170,-0.006545,0.596959,0.729283,-9.624386
0.884287,0.054542,-0.183260,-0.005454,0.432900,0.492775,-9.699230
0.904379,0.027271,-0.148353,-0.022907,0.265248,0.545466,-9.789044
0.924546,0.040361,-0.158170,-0.005454,0.443079,0.705932,-9.632170
0.944567,0.047997,-0.167988,-0.029452,0.461041,0.477806,-9.750723
0.964660,0.038179,-0.166897,-0.003272,0.400567,0.573008,-9.841135
0.984802,0.050178,-0.161443,-0.016362,0.360450,0.680784,-9.684860
1.004851,0.044724,-0.163625,-0.014181,0.316143,0.408351,-9.782457
1.024950,0.035997,-0.173442,-0.022907,0.289797,0.506547,-9.798025
1.044681,0.051269,-0.172351,-0.026180,0.437690,0.819097,-9.750125
1.064694,0.054542,-0.151625,-0.018544,0.256267,0.350870,-9.647139
1.084832,0.016362,-0.131991,-0.027271,0.480800,0.467029,-9.903406
1.104846,0.027271,-0.165806,-0.010908,0.452060,0.834664,-9.674083
1.124964,0.059996,-0.170170,-0.019635,0.185015,0.519120,-9.697434
1.145074,0.045815,-0.171260,-0.037088,0.334704,0.510738,-10.001602
1.165166,0.045815,-0.181078,-0.009817,0.496368,0.764011,-9.631571
1.185583,0.081812,-0.188714,-0.015272,0.404758,0.498763,-9.593251
1.205363,0.030543,-0.107992,0.016362,0.349074,0.900527,-10.262659
1.225513,0.153807,-0.151625,0.078540,0.266446,0.935255,-9.126222
1.245530,0.038179,-0.155989,-0.059996,-0.051493,-0.481399,-10.505753
1.265602,-0.017453,-0.152716,-0.051269,0.871188,0.838257,-9.337582
1.285665,0.103629,-0.188714,0.050178,0.456251,0.799338,-9.559122
1.306373,0.062177,-0.148353,-0.057814,0.343685,-0.141905,-10.120754
1.326463,0.034907,-0.183260,0.068722,0.747845,0.706531,-9.538165
1.346499,0.088357,-0.130900,0.226893,0.499960,0.390987,-9.641750
1.366600,-0.006545,-0.176715,0.151625,0.335303,0.249082,-10.078841
1.386656,0.018544,-0.237801,0.001091,0.178429,1.498683,-9.619596
1.406783,0.083994,-0.160352,-0.147262,0.019759,0.947829,-9.554930
1.426839,0.033816,-0.188714,-0.217075,0.699346,-0.233514,-9.250763
1.446959,0.067632,-0.159261,-0.082903,0.783171,0.450264,-8.951984
1.467143,0.040361,-0.167988,0.057814,0.170046,0.957409,-10.671010
1.487174,0.016362,-0.200713,-0.069813,0.026345,0.486788,-10.062675
1.507302,0.145080,-0.116719,0.004363,0.700543,1.293909,-9.698033
1.527409,0.076358,-0.206167,0.102538,-0.334704,0.096998,-9.613608
1.547447,0.000000,-0.139626,-0.015272,-0.096998,0.402363,-9.868079
1.567595,0.021817,-0.137445,-0.004363,0.651445,0.431104,-10.418934
1.587638,0.014181,-0.154898,-0.001091,1.307681,0.563428,-9.183104
1.607697,0.064359,-0.189805,0.054542,0.978964,0.583786,-9.709409
1.627837,0.026180,-0.235619,0.075267,0.176633,0.206570,-9.835148
1.647995,-0.011999,-0.201804,-0.047997,-0.301772,0.432301,-9.771680
1.668067,0.059996,-0.162534,-0.018544,0.557441,0.684377,-9.713002
1.688145,0.095993,-0.162534,0.177805,0.458646,0.188608,-9.513018
1.708311,0.097084,-0.131991,-0.032725,-0.413740,1.046025,-10.089619
1.728341,0.030543,-0.135263,-0.331613,0.079036,1.032253,-9.147178
1.748432,0.241074,-0.116719,-0.344703,0.916694,1.271755,-9.979448
1.768492,0.047997,-0.147262,-0.188714,0.813708,0.402962,-7.940687
1.788597,0.112356,-0.159261,-0.262890,0.641865,-0.249082,-10.045311
1.808677,0.006545,-0.197440,0.049087,0.497565,-0.186812,-9.257349
1.828753,0.016362,-0.150535,0.065450,0.248483,0.677791,-9.228010
1.848848,0.023998,-0.129809,-0.008727,0.146695,0.187410,-9.636361
1.869008,0.030543,-0.178896,-0.027271,0.659828,0.129331,-8.943003
1.889116,0.020726,-0.143990,0.003272,1.238225,0.337698,-10.498568
1.909208,0.018544,-0.186532,0.097084,0.630489,0.068258,-9.022039
1.929214,-0.099266,-0.220348,0.226893,1.050216,1.192720,-10.584789
1.949384,0.117810,-0.191986,0.246528,0.241298,0.125739,-10.193203
1.969467,0.197440,-0.191986,0.235619,0.662223,-0.920885,-10.140513
1.989518,-0.016362,-0.302160,0.342521,0.601150,-0.476609,-8.887917
2.009639,-0.128718,-0.014181,0.155989,-1.217867,2.521956,-9.814790
2.029823,0.446150,-0.227984,-0.243255,-1.423240,2.134561,-10.111772
2.049440,0.303251,0.075267,-0.506145,0.274230,0.756826,-10.386002
2.070077,0.139626,-0.186532,-0.370882,0.432900,1.131647,-10.612930
2.089710,0.282525,0.032725,-0.481056,0.466430,0.016765,-9.320219
2.110191,0.167988,-0.097084,-0.346884,1.048420,-0.620310,-11.044633
2.130263,0.218166,-0.340339,-0.155989,0.002994,-1.061592,-9.271719
2.150432,-0.159261,-0.519235,0.050178,-0.068857,-0.861010,-9.109457
2.170465,-0.179987,0.064359,0.013090,0.904719,-1.177751,-10.966794
2.190935,-0.280344,-0.282525,0.065450,0.069456,0.333506,-10.034533
2.210688,-0.404698,-0.170170,0.253073,0.840053,1.509461,-9.538764
2.230833,-0.380700,-0.349066,0.434151,0.790955,2.750680,-11.113489
2.250963,0.193077,-0.099266,0.355611,0.232916,1.338816,-8.944200
