timestamp,gx,gy,gz,ax,ay,az
0.000000,0.044724,-0.187623,-0.021817,2.117197,2.948868,-9.336984
0.020153,0.052360,-0.150535,-0.015272,2.283052,2.899171,-9.277707
0.039714,0.015272,-0.217075,-0.010908,2.519561,3.402125,-9.495654
0.059685,0.375246,-0.053451,0.273799,3.770359,7.019802,-12.547507
0.080990,0.931569,-1.589340,1.143191,4.817582,6.224057,-12.464879
0.100383,2.652900,-1.926407,1.300270,2.407593,6.141429,-13.243859
0.121227,3.490659,-3.202679,0.955568,0.573008,1.115480,-2.703977
0.140743,3.029237,-2.475095,0.730857,-0.006586,1.764531,-3.175197
0.160327,1.407172,-0.062177,0.649044,-3.269800,-0.102986,-11.137440
0.180365,0.544325,-0.110174,0.030543,0.358654,-2.463278,-11.541000
0.200505,0.077449,-0.270526,-0.016362,-0.001796,-3.738027,-8.707094
0.220569,-0.009817,-0.229074,0.049087,-0.479004,-1.605262,-10.674602
0.240655,-0.175624,-0.189805,0.188714,0.138312,1.117277,-9.169332
0.260761,0.014181,-0.202895,0.081812,0.017963,2.923720,-9.447155
0.280867,0.209440,-0.150535,-0.119991,0.724493,1.328637,-9.940529
0.300919,0.078540,-0.198531,-0.139626,1.863924,-0.370031,-9.895023
0.321070,-0.053451,-0.181078,0.023998,1.429827,0.547861,-10.336306
0.341192,0.013090,-0.196350,0.043633,0.351469,1.485511,-9.176517
0.361270,0.121082,-0.164715,-0.050178,0.123344,0.695753,-9.659114
0.381340,0.032725,-0.188714,0.004363,0.016765,0.125739,-9.992021
0.401525,0.006545,-0.141808,-0.098175,0.653242,1.071771,-9.533375
0.421601,0.069813,-0.163625,-0.045815,1.499881,1.234633,-9.684261
0.441586,0.026180,-0.152716,-0.004363,1.006507,0.443079,-9.721384
0.461709,0.013090,-0.123264,-0.052360,0.785566,0.720901,-9.958491
0.481828,0.028362,-0.159261,0.014181,0.365240,0.994532,-9.774075
0.502024,0.042542,-0.164715,-0.018544,0.022154,1.033451,-10.174642
0.522042,0.075267,-0.184350,-0.010908,0.150886,0.456251,-9.837543
0.542198,0.051269,-0.170170,-0.032725,0.788560,0.594564,-9.844129
0.562249,0.032725,-0.210530,-0.045815,0.996927,1.122665,-10.001602
0.585320,0.053451,-0.212712,0.004363,0.534688,0.774789,-9.898616
0.602428,0.054542,-0.145080,-0.009817,0.726290,0.707728,-9.464518
0.622548,0.037088,-0.188714,-0.013090,0.861010,0.683778,-9.256152
