timestamp,gx,gy,gz,ax,ay,az,vx_gt,vy_gt,vz_gt
0.000000,0.088870,-0.118475,-0.261694,-0.309200,0.049650,-19.360500,0.005050,0.163296,0.085757
0.020000,-0.064078,-0.002217,-0.215248,0.018181,0.147413,-19.458640,-0.001134,0.164289,-0.105253
0.040000,-0.271373,-0.062680,-0.278675,7.056810,-9.982194,8.355658,-0.000532,0.167406,-0.298226
0.060000,2.549892,-0.105377,-0.873453,2.021643,-1.410383,-8.697623,0.140883,-0.033120,0.065085
0.080000,1.985609,-2.001997,-0.269994,1.029455,3.041693,-9.890761,0.181866,-0.060288,0.087329
0.100000,-0.308199,-1.195712,-0.094749,0.407064,0.027321,-16.460342,0.206291,0.012011,0.085341
0.120000,-1.551531,-1.332242,0.359724,-2.308650,1.045216,-16.011853,0.223327,0.025539,-0.048298
0.140000,-1.342718,-0.219435,-0.197203,-2.976545,1.442470,-16.388896,0.191105,0.054287,-0.172989
0.160000,-1.391888,1.142797,-0.805145,-5.148263,-6.878552,2.154406,0.148814,0.086079,-0.305348
0.180000,1.440296,2.282639,-1.346094,-3.760827,4.137693,-11.410173,0.060953,-0.053570,-0.066653
0.200000,-0.106428,0.381845,-0.384338,-5.994508,0.375803,-9.454076,-0.007177,0.024313,-0.098845
0.220000,0.602976,-0.685171,-0.292331,1.030571,1.889100,-5.854622,-0.124060,0.028734,-0.091774
0.240000,-0.485192,-0.960972,0.163853,0.568729,-0.409149,-8.540126,-0.099585,0.064038,-0.012720
0.260000,-0.047240,0.048476,-0.760713,1.496931,-2.266628,-9.911692,-0.080023,0.055340,0.012506
0.280000,0.200236,0.158419,-0.862333,1.300504,-0.718357,-11.488483,-0.040676,0.008863,0.010243
0.300000,0.163961,0.451659,-0.686471,-1.112797,-0.418551,-8.937964,-0.005637,-0.006255,-0.023536
0.320000,0.481941,-0.077621,-0.352780,0.252034,0.484006,-9.605316,-0.020001,-0.014462,-0.006254
0.340000,-0.017840,0.064089,-0.199600,0.630272,-0.029690,-9.504647,-0.006767,-0.004280,-0.002332
0.360000,-0.018875,0.054676,-0.173737,-1.414644,0.084835,-10.051578,0.014019,-0.004089,0.003603
0.380000,0.031710,0.044320,-0.047435,0.239142,-0.149410,-9.690190,-0.006306,-0.001602,-0.001392
0.400000,0.050956,0.029115,-0.112279,-0.243367,0.227727,-9.905707,0.006234,-0.003743,0.000849
0.420000,0.014263,0.049950,-0.039412,-0.778289,-0.010804,-9.798033,0.009022,0.001810,-0.001217
0.440000,-0.001803,0.003882,-0.044039,-0.020336,-0.129881,-9.772299,0.000975,0.002726,-0.001125
0.460000,-0.035678,0.057373,0.004888,-0.790192,0.012502,-9.791936,0.007966,0.001284,-0.000514
0.480000,0.016883,-0.003968,-0.031497,-0.231944,-0.110972,-9.847030,-0.000508,0.002672,-0.000293
0.500000,-0.037087,0.026048,0.005354,-0.434618,0.071543,-9.785090,0.002036,0.001514,-0.001168
0.520000,-0.008198,0.006641,-0.022682,-0.378977,-0.283122,-9.778407,0.000522,0.004032,-0.000804
0.540000,-0.045392,0.017661,0.026788,-0.340057,0.216757,-9.851016,0.000040,-0.000652,-0.000303
0.560000,-0.014388,0.007424,-0.014232,-0.287897,-0.092659,-9.719554,0.000315,0.004609,-0.001253
0.580000,-0.063484,0.007987,0.031203,-0.481355,-0.182628,-9.884592,0.001592,0.003583,0.000428
0.600000,0.000334,-0.007161,0.015637,-0.223640,-0.069376,-9.791331,-0.001039,0.000686,-0.001190
0.620000,-0.022575,0.015796,0.026939,-0.467787,0.030699,-9.811880,0.001469,-0.000026,-0.000942
0.640000,-0.013124,0.004144,0.006700,-0.258893,0.031750,-9.786499,-0.000924,0.001207,-0.001104
0.660000,-0.031863,0.011936,0.013267,-0.380019,-0.151779,-9.841149,0.000824,0.002389,-0.000757
0.680000,-0.003964,0.025801,-0.004337,-0.379690,0.045117,-9.776718,0.000154,-0.000150,-0.001503
0.700000,-0.033517,0.005198,0.013678,-0.263670,0.085082,-9.817518,-0.000542,0.001162,-0.000959
0.720000,-0.013012,0.010127,0.009737,-0.486111,-0.157962,-9.810819,0.001083,0.003237,-0.001231
0.740000,0.002983,0.003394,0.003725,-0.379312,-0.018651,-9.780538,-0.001711,0.000406,-0.001370
0.760000,-0.027562,-0.021349,-0.002531,-0.222881,-0.029530,-9.808389,-0.002381,0.000331,-0.000903
0.780000,0.002072,0.006740,-0.006199,-0.442957,-0.012117,-9.776461,0.000110,0.000019,-0.000994
0.800000,-0.003211,-0.005111,-0.000010,-0.378723,0.121743,-9.785081,-0.001755,0.000059,-0.000448
0.820000,-0.012930,-0.018541,0.005556,-0.245929,-0.164149,-9.820063,-0.002321,0.002765,-0.000075
0.840000,-0.000421,0.003949,-0.001324,-0.411386,0.040716,-9.792694,-0.000196,-0.000269,-0.000403
0.860000,-0.003611,-0.005616,0.003339,-0.356631,0.046343,-9.837584,-0.001336,0.000768,-0.000185
0.880000,-0.003881,-0.011144,-0.006042,-0.284583,-0.109598,-9.764475,-0.001375,0.001915,-0.000865
0.900000,-0.001197,0.001374,0.000002,-0.392666,-0.004613,-9.816546,0.000055,-0.000058,-0.000084
0.920000,0.002469,0.002848,0.004207,-0.334802,0.020101,-9.791086,-0.000659,0.000063,-0.000345
0.940000,-0.000929,-0.000601,0.004150,-0.395222,-0.024056,-9.826167,-0.000211,0.000673,-0.000097
0.960000,-0.003510,-0.003421,-0.003843,-0.323598,-0.010992,-9.784797,-0.000961,0.000403,-0.000551
0.980000,-0.000216,-0.001168,0.001268,-0.345084,0.045343,-9.842467,-0.000264,0.000388,-0.000178
1.000000,-0.002286,-0.004639,-0.004309,-0.445943,-0.085468,-9.779548,0.000017,0.001494,-0.000959
1.020000,-0.001558,-0.004428,0.000246,-0.189670,0.068984,-9.767598,-0.001707,-0.000017,-0.000482
1.040000,0.000924,0.000831,0.014164,-0.487455,-0.078255,-9.853418,0.001697,0.001563,0.000234
1.060000,-0.001573,0.002677,0.005256,-0.316580,0.010586,-9.750859,-0.000839,0.000189,-0.000767
1.080000,-0.005707,-0.002675,0.003354,-0.366830,-0.053611,-9.831209,0.000047,0.000582,0.000283
1.100000,0.001061,-0.000440,-0.008348,-0.406423,0.034060,-9.817379,-0.000071,-0.000305,-0.000274
1.120000,-0.002261,-0.005185,0.006373,-0.244142,-0.042045,-9.802019,-0.000964,0.000552,-0.000555
1.140000,0.006092,0.004342,0.008816,-0.469529,0.024175,-9.819369,0.001390,-0.000108,-0.000529
1.160000,0.002014,-0.006929,-0.000802,-0.323845,-0.046660,-9.785840,-0.000761,0.000546,-0.000850
1.180000,0.008729,0.011535,0.021293,-0.351918,0.072918,-9.778590,0.000016,-0.000222,-0.000501
1.200000,-0.007166,-0.017617,-0.030350,-0.409539,-0.100377,-9.820769,0.000229,0.001399,-0.000007
1.220000,0.002994,0.010178,0.005642,-0.409379,0.026418,-9.800491,-0.000722,-0.000440,-0.000356
1.240000,0.003797,0.000036,0.005533,-0.158835,0.131092,-9.775740,-0.001628,0.000241,-0.000301
1.260000,-0.013905,-0.024652,-0.043613,-0.621147,-0.161314,-9.842041,0.002450,0.003020,0.000250
1.280000,0.005826,0.032702,0.019929,-0.215647,0.320095,-9.795723,-0.002690,-0.000056,-0.000526
1.300000,0.010459,-0.025627,-0.051380,-0.024102,-0.481090,-9.708511,0.000342,0.006454,-0.000378
1.320000,-0.013315,0.014136,-0.020374,-0.850937,0.015243,-9.913884,0.007128,-0.003013,0.001517
1.340000,0.034897,0.021676,0.015115,-0.298806,0.248486,-9.758362,-0.002525,-0.002591,-0.000699
