timestamp,gx,gy,gz,ax,ay,az,vx_gt,vy_gt,vz_gt
0.000000,0.033164,0.036486,-0.060744,-0.235550,-0.314700,-19.247450,0.016022,-0.103295,-0.074429
0.020000,0.809731,0.115055,-0.190029,-15.135914,8.883878,3.904610,0.011311,-0.109589,-0.263178
0.040000,0.583454,-1.467411,0.758091,-0.162586,5.520517,-3.786782,-0.291732,0.070059,0.011104
0.060000,-2.542436,-0.883283,0.958939,2.631927,-0.231664,-9.098761,-0.291489,0.186218,0.131453
0.080000,0.010768,-0.289058,0.740011,0.869478,-1.503335,-15.392754,-0.232875,0.184637,0.145563
0.100000,0.359040,-0.322051,0.639021,0.395235,-1.376623,-15.962178,-0.207960,0.155897,0.033759
0.120000,1.318355,-0.342792,0.399055,1.882880,-1.525756,-12.731720,-0.191490,0.130065,-0.089479
0.140000,0.249451,-0.208303,0.697319,-0.518186,0.823774,-14.686472,-0.143868,0.104252,-0.148223
0.160000,-0.617683,0.962624,0.412988,0.897629,0.334291,-7.664565,-0.143117,0.129870,-0.246281
0.180000,-0.167824,1.471980,-0.437277,4.025352,-4.938002,-4.409060,-0.114901,0.143940,-0.203780
0.200000,0.039781,1.147974,-0.250007,-0.174848,-3.982076,-8.606335,-0.029198,0.050640,-0.095906
0.220000,0.253248,0.962197,-0.455733,-0.157977,-3.130840,-8.996344,-0.031815,-0.024340,-0.071890
0.240000,0.788805,1.562959,-0.539583,5.374528,-0.298052,-5.264830,-0.038307,-0.080699,-0.055745
0.260000,0.199352,-0.451860,-0.298666,1.384007,0.232427,-10.656718,0.060105,-0.079217,0.034807
0.280000,-0.666537,-0.178418,-0.120639,1.155732,1.755600,-12.724016,0.078199,-0.066259,0.017462
0.300000,-0.838360,0.997698,-0.521100,3.199108,0.616189,-4.428978,0.093932,-0.023061,-0.041124
0.320000,0.189450,-1.114949,-0.192724,-0.213759,0.273824,-11.591870,0.147988,-0.005606,0.066178
0.340000,-0.940924,-0.587752,0.018971,-0.926766,0.250977,-10.358230,0.135825,0.005441,0.030303
0.360000,2.209689,0.845030,-0.227355,2.383905,-0.588927,-12.606178,0.112885,0.015063,0.019235
0.380000,1.115951,1.411963,0.142324,1.980779,-0.412198,-2.810886,0.156489,0.004950,-0.036738
0.400000,-0.815161,-0.457092,-0.122435,1.189384,-0.811448,-13.265562,0.187533,0.003214,0.102949
