step,time,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,action_0,joint_pos_0,joint_pos_rel_0,action_1,joint_pos_1,joint_pos_rel_1,action_2,joint_pos_2,joint_pos_rel_2,action_3,joint_pos_3,joint_pos_rel_3,action_4,joint_pos_4,joint_pos_rel_4,action_5,joint_pos_5,joint_pos_rel_5,action_6,joint_pos_6,joint_pos_rel_6,action_7,joint_pos_7,joint_pos_rel_7,action_8,joint_pos_8,joint_pos_rel_8,action_9,joint_pos_9,joint_pos_rel_9,action_10,joint_pos_10,joint_pos_rel_10,action_11,joint_pos_11,joint_pos_rel_11
0,0.0,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07255194,0.0010157272,0.0010157272,0.017665993,0.7852473,0.00024729967,0.11067476,-1.5684506,0.0015494823,0.05460189,0.0007644264,0.0007644264,-0.09601737,0.78365576,-0.0013442636,-0.007105478,-1.5700995,-9.942055e-05,-0.03717425,-0.0005204395,-0.0005204395,0.099945866,0.78639925,0.001399219,0.032076426,-1.569551,0.0004490614,-0.010055706,-0.00014077987,-0.00014077987,0.14120053,0.7869768,0.001976788,0.048326716,-1.5693234,0.0006766319
1,0.02,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.0010157272,0.00024729967,0.0015494823,0.0007644264,-0.0013442636,-9.942055e-05,-0.0005204395,0.001399219,0.0004490614,-0.00014077987,0.001976788,0.0006766319,0.05078636,0.012366188,0.077472396,0.038221322,-0.06721215,-0.004973912,-0.026021976,0.06996213,0.022453452,-0.0070389938,0.09884038,0.03382871,0.4814547,0.1172318,0.7344379,0.36233816,-0.6371709,-0.047153495,-0.24668832,0.6632413,0.21285883,-0.06672967,0.93700707,0.32069537,0.07255194,0.017665993,0.11067476,0.05460189,-0.09601737,-0.007105478,-0.03717425,0.099945866,0.032076426,-0.010055706,0.14120053,0.048326716,0.07006501,0.0029595466,0.0029595466,0.020603962,0.78577024,0.0007702112,0.13274598,-1.5651232,0.004876852,0.079297915,0.0025992733,0.0025992733,-0.09424452,0.781062,-0.0039380193,-0.01919309,-1.5704625,-0.00046241283,-0.018449865,-0.0012721142,-0.0012721142,0.100497775,0.7891327,0.004132688,-0.010825214,-1.5692768,0.00072324276,0.018322691,-1.7721497e-05,-1.7721497e-05,0.16386324,0.7911449,0.0061448812,0.044607773,-1.5680575,0.0019425154
2,0.04,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.0029595466,0.0007702112,0.004876852,0.0025992733,-0.0039380193,-0.00046241283,-0.0012721142,0.004132688,0.00072324276,-1.7721497e-05,0.0061448812,0.0019425154,0.097190976,0.026145991,0.16636595,0.09174235,-0.12968822,-0.01815057,-0.03758374,0.13667253,0.013708273,0.0061529186,0.20840502,0.06329505,0.42569557,0.12717012,0.82101804,0.49667746,-0.5734539,-0.1235223,-0.10231936,0.61282504,-0.08919148,0.12703022,1.0109975,0.26986912,0.07006501,0.020603962,0.13274598,0.079297915,-0.09424452,-0.01919309,-0.018449865,0.100497775,-0.010825214,0.018322691,0.16386324,0.044607773,0.07019134,0.005756526,0.005756526,0.022611521,0.7865756,0.0015755892,0.13589701,-1.5601097,0.009890318,0.08201012,0.005465446,0.005465446,-0.08812663,0.777407,-0.0075930357,-0.0017127031,-1.5708278,-0.0008277893,-0.024526428,-0.0023134996,-0.0023134996,0.10807702,0.79319793,0.008197904,-0.008057863,-1.5691423,0.00085771084,0.025569081,0.0004608468,0.0004608468,0.17385794,0.7974749,0.0124748945,0.046568584,-1.5662245,0.0037755966
3,0.06,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.005756526,0.0015755892,0.009890318,0.005465446,-0.0075930357,-0.0008277893,-0.0023134996,0.008197904,0.00085771084,0.0004608468,0.0124748945,0.0037755966,0.13984896,0.040268242,0.2506734,0.14330864,-0.18275113,-0.018266538,-0.05206927,0.20326057,0.006726252,0.023928415,0.31650102,0.091654494,0.37718424,0.12655786,0.7526523,0.4631605,-0.46672383,0.003983426,-0.12679937,0.59298617,-0.07002708,0.1667889,0.9663967,0.251125,0.07019134,0.022611521,0.13589701,0.08201012,-0.08812663,-0.0017127031,-0.024526428,0.10807702,-0.008057863,0.025569081,0.17385794,0.046568584,0.070108905,0.0093067195,0.0093067195,0.018032998,0.78757,0.0025699735,0.13835782,-1.5535566,0.016443491,0.082013704,0.00925799,0.00925799,-0.080942795,0.7729191,-0.012080908,0.007253331,-1.5710597,-0.0010596514,-0.0243009,-0.0036053262,-0.0036053262,0.11199417,0.79850394,0.013503909,-0.006677863,-1.5691285,0.0008715391,0.029162124,0.0013232954,0.0013232954,0.17661145,0.8057763,0.020776272,0.045322787,-1.5639066,0.006093502
4,0.08,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.0093067195,0.0025699735,0.016443491,0.00925799,-0.012080908,-0.0010596514,-0.0036053262,0.013503909,0.0008715391,0.0013232954,0.020776272,0.006093502,0.17750968,0.0497191,0.32766134,0.1896272,-0.22439477,-0.01159185,-0.06459133,0.26530117,0.0006895205,0.043122433,0.41506815,0.11589498,0.31786594,0.07831898,0.65965754,0.39897352,-0.34361178,0.068391025,-0.104129806,0.53123206,-0.059112094,0.17525934,0.8457958,0.20413645,0.070108905,0.018032998,0.13835782,0.082013704,-0.080942795,0.007253331,-0.0243009,0.11199417,-0.006677863,0.029162124,0.17661145,0.045322787,0.07370264,0.013542958,0.013542958,0.008321382,0.78858507,0.0035850406,0.13865915,-1.5456798,0.024320245,0.081488505,0.013841128,0.013841128,-0.07344198,0.767849,-0.017150998,0.016193245,-1.5710295,-0.0010294914,-0.020664733,-0.005054506,-0.005054506,0.11505533,0.8049153,0.019915283,-0.003423923,-1.5691874,0.0008126497,0.031689614,0.0025716475,0.0025716475,0.1782377,0.815792,0.030791998,0.043635625,-1.561204,0.008796096
5,0.1,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.013542958,0.0035850406,0.024320245,0.013841128,-0.017150998,-0.0010294914,-0.005054506,0.019915283,0.0008126497,0.0025716475,0.030791998,0.008796096,0.21181189,0.05075286,0.39383805,0.22915691,-0.2535054,0.0015050722,-0.072459,0.3205672,-0.0029439332,0.06241761,0.5007861,0.13512751,0.27548224,-0.0041214237,0.5356101,0.3216461,-0.21313861,0.12740372,-0.056499887,0.44963712,-0.034638055,0.170844,0.6963872,0.1498733,0.07370264,0.008321382,0.13865915,0.081488505,-0.07344198,0.016193245,-0.020664733,0.11505533,-0.003423923,0.031689614,0.1782377,0.043635625,0.08072741,0.018428506,0.018428506,-0.0075432137,0.78936976,0.0043697357,0.13783437,-1.5367434,0.03325665,0.081520885,0.019068012,0.019068012,-0.06596735,0.7624573,-0.022542715,0.02489777,-1.5706228,-0.0006227493,-0.013757671,-0.006519987,-0.006519987,0.117991,0.812267,0.02726698,0.00057620066,-1.5692595,0.0007405281,0.034396127,0.004199579,0.004199579,0.17976408,0.8272219,0.042221844,0.04090915,-1.5582398,0.011760235
6,0.12,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.018428506,0.0043697357,0.03325665,0.019068012,-0.022542715,-0.0006227493,-0.006519987,0.02726698,0.0007405281,0.004199579,0.042221844,0.011760235,0.24427745,0.03923549,0.4468216,0.2613442,-0.269587,0.020338707,-0.073274046,0.36758587,-0.0036076081,0.08139657,0.57149327,0.14820626,0.24846621,-0.123395264,0.39200988,0.24097142,-0.08147235,0.1781219,0.012561889,0.35597846,-0.0054677636,0.1624436,0.530084,0.08615057,0.08072741,-0.0075432137,0.13783437,0.081520885,-0.06596735,0.02489777,-0.013757671,0.117991,0.00057620066,0.034396127,0.17976408,0.04090915,0.090776905,0.02395168,0.02395168,-0.02966199,0.78959805,0.0045980215,0.13607308,-1.5270476,0.04295242,0.082460284,0.02478999,0.02478999,-0.059430175,0.7569941,-0.028005898,0.03328868,-1.5697423,0.00025773048,-0.0036175204,-0.007818382,-0.007818382,0.1213258,0.82037735,0.035377324,0.005408681,-1.5692749,0.0007251501,0.037774086,0.0061996887,0.0061996887,0.18142866,0.8397352,0.054735184,0.037065495,-1.5551572,0.014842868
7,0.14,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.02395168,0.0045980215,0.04295242,0.02478999,-0.028005898,0.00025773048,-0.007818382,0.035377324,0.0007251501,0.0061996887,0.054735184,0.014842868,0.27615872,0.011412801,0.48478976,0.28609893,-0.2731582,0.044024527,-0.064919755,0.4055181,-0.0007716303,0.1000055,0.6256669,0.15413085,0.23383673,-0.27474546,0.23482838,0.16149838,0.041629683,0.21884692,0.09971546,0.25667408,0.027894437,0.15362164,0.35354805,0.014666987,0.090776905,-0.02966199,0.13607308,0.082460284,-0.059430175,0.03328868,-0.0036175204,0.1213258,0.005408681,0.037774086,0.18142866,0.037065495,0.10318352,0.03011622,0.03011622,-0.05785337,0.78888214,0.0038821101,0.13315344,-1.5169231,0.053076982,0.08443701,0.03086264,0.03086264,-0.054679953,0.75168073,-0.033319294,0.041240204,-1.5683128,0.0016872883,0.009677489,-0.008731216,-0.008731216,0.12495389,0.82905185,0.044051826,0.01087696,-1.569158,0.0008420944,0.04204361,0.008566815,0.008566815,0.18345305,0.852984,0.067983985,0.032256745,-1.5521126,0.017887473
8,0.16,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.03011622,0.0038821101,0.053076982,0.03086264,-0.033319294,0.0016872883,-0.008731216,0.044051826,0.0008420944,0.008566815,0.067983985,0.017887473,0.30822703,-0.035795674,0.5062288,0.30363247,-0.26567012,0.07147527,-0.045641705,0.43372512,0.005845504,0.11835633,0.6624388,0.15223148,0.2266831,-0.45073193,0.0675014,0.08611033,0.14747103,0.2479054,0.20093346,0.15385747,0.062946014,0.14596434,0.17341048,-0.061162293,0.10318352,-0.05785337,0.13315344,0.08443701,-0.054679953,0.041240204,0.009677489,0.12495389,0.01087696,0.04204361,0.18345305,0.032256745,0.11651917,0.036920823,0.036920823,-0.09092652,0.78680176,0.0018017292,0.12891415,-1.5067228,0.063277245,0.087487556,0.03715022,0.03715022,-0.051427513,0.7467078,-0.03829223,0.04842767,-1.5662868,0.0037132502,0.0255914,-0.009019389,-0.009019389,0.12896052,0.8380902,0.053090155,0.01677792,-1.5688325,0.0011675358,0.047437668,0.011301387,0.011301387,0.18556951,0.8666092,0.08160919,0.026569342,-1.5492699,0.020730138
9,0.18,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.036920823,0.0018017292,0.063277245,0.03715022,-0.03829223,0.0037132502,-0.009019389,0.053090155,0.0011675358,0.011301387,0.08160919,0.020730138,0.3402303,-0.1040201,0.51001143,0.3143789,-0.24864626,0.10129696,-0.014408624,0.4519155,0.016270872,0.1367286,0.68126136,0.14213403,0.21708739,-0.6367451,-0.10588535,0.016858887,0.23577392,0.2626963,0.3088693,0.051001538,0.09719543,0.14102939,-0.007044709,-0.13834853,0.11651917,-0.09092652,0.12891415,0.087487556,-0.051427513,0.04842767,0.0255914,0.12896052,0.01677792,0.047437668,0.18556951,0.026569342,0.12887767,0.044332623,0.044332623,-0.1271645,0.7829405,-0.0020595193,0.12347775,-1.4968104,0.073189616,0.091611564,0.04352925,0.04352925,-0.049122952,0.7422387,-0.042761326,0.054220837,-1.5636544,0.0063456297,0.04360048,-0.008437696,-0.008437696,0.13334091,0.8472918,0.0622918,0.022993391,-1.5682257,0.0017743111,0.054302827,0.01441413,0.01441413,0.1873586,0.8802454,0.09524536,0.019926839,-1.5467969,0.023203135
