step,time,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,action_0,delayed_action_0,joint_pos_0,joint_pos_rel_0,action_1,delayed_action_1,joint_pos_1,joint_pos_rel_1,action_2,delayed_action_2,joint_pos_2,joint_pos_rel_2,action_3,delayed_action_3,joint_pos_3,joint_pos_rel_3,action_4,delayed_action_4,joint_pos_4,joint_pos_rel_4,action_5,delayed_action_5,joint_pos_5,joint_pos_rel_5,action_6,delayed_action_6,joint_pos_6,joint_pos_rel_6,action_7,delayed_action_7,joint_pos_7,joint_pos_rel_7,action_8,delayed_action_8,joint_pos_8,joint_pos_rel_8,action_9,delayed_action_9,joint_pos_9,joint_pos_rel_9,action_10,delayed_action_10,joint_pos_10,joint_pos_rel_10,action_11,delayed_action_11,joint_pos_11,joint_pos_rel_11
0,0.0,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34613627,0.0,0.0,0.0,0.038939446,0.0,0.785,0.0,-0.08035496,0.0,-1.57,0.0,-0.17599502,0.0,0.0,0.0,-0.05117213,0.0,0.785,0.0,-0.12888902,0.0,-1.57,0.0,0.09293474,0.0,0.0,0.0,0.10701375,0.0,0.785,0.0,0.05949172,0.0,-1.57,0.0,-0.11289828,0.0,0.0,0.0,0.18481192,0.0,0.785,0.0,0.02569815,0.0,-1.57,0.0
1,0.02,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34613627,0.0,0.0,0.0,0.038939446,0.0,0.785,0.0,-0.08035496,0.0,-1.57,0.0,-0.17599502,0.0,0.0,0.0,-0.05117213,0.0,0.785,0.0,-0.12888902,0.0,-1.57,0.0,0.09293474,0.0,0.0,0.0,0.10701375,0.0,0.785,0.0,0.05949172,0.0,-1.57,0.0,-0.11289828,0.0,0.0,0.0,0.18481192,0.0,0.785,0.0,0.02569815,0.0,-1.57,0.0
2,0.04,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34613627,0.0,0.0,0.0,0.038939446,0.0,0.785,0.0,-0.08035496,0.0,-1.57,0.0,-0.17599502,0.0,0.0,0.0,-0.05117213,0.0,0.785,0.0,-0.12888902,0.0,-1.57,0.0,0.09293474,0.0,0.0,0.0,0.10701375,0.0,0.785,0.0,0.05949172,0.0,-1.57,0.0,-0.11289828,0.0,0.0,0.0,0.18481192,0.0,0.785,0.0,0.02569815,0.0,-1.57,0.0
3,0.06,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34613627,0.34613627,0.0055381805,0.0055381805,0.038939446,0.038939446,0.7856231,0.00062304735,-0.08035496,-0.08035496,-1.5712857,-0.0012856722,-0.17599502,-0.17599502,-0.0028159202,-0.0028159202,-0.05117213,-0.05117213,0.7841813,-0.0008187294,-0.12888902,-0.12888902,-1.5720623,-0.0020622015,0.09293474,0.09293474,0.0014869557,0.0014869557,0.10701375,0.10701375,0.7867122,0.001712203,0.05949172,0.05949172,-1.5690482,0.0009518862,-0.11289828,-0.11289828,-0.0018063723,-0.0018063723,0.18481192,0.18481192,0.787957,0.0029569864,0.02569815,0.02569815,-1.5695889,0.00041115284
4,0.08,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.15,0.0,0.0,0.0055381805,0.00062304735,-0.0012856722,-0.0028159202,-0.0008187294,-0.0020622015,0.0014869557,0.001712203,0.0009518862,-0.0018063723,0.0029569864,0.00041115284,0.27690902,0.03115158,-0.064283945,-0.140796,-0.04093771,-0.10311127,0.07434779,0.08561096,0.047593307,-0.09031862,0.14784956,0.020558547,2.5420249,0.28597125,-0.5901267,-1.2925074,-0.37580857,-0.9465618,0.6825127,0.7859089,0.43690625,-0.82912505,1.357259,0.18872777,0.34613627,0.038939446,-0.08035496,-0.17599502,-0.05117213,-0.12888902,0.09293474,0.10701375,0.05949172,-0.11289828,0.18481192,0.02569815,0.42278373,0.34613627,0.01616041,0.01616041,0.07037957,0.038939446,0.786818,0.0018180013,-0.04867439,-0.08035496,-1.5737517,-0.0037516356,-0.10463582,-0.17599502,-0.008216855,-0.008216855,-0.067129225,-0.05117213,0.78261095,-0.0023890734,-0.105595805,-0.12888902,-1.5760176,-0.0060175657,0.16182017,0.09293474,0.004338937,0.004338937,-0.10741639,0.10701375,0.78999627,0.00499624,0.11577452,0.05949172,-1.5672225,0.0027775764,-0.16268297,-0.11289828,-0.0052709947,-0.0052709947,0.41605437,0.18481192,0.7936285,0.008628488,-0.007886222,0.02569815,-1.5688003,0.0011997223
5,0.1,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.15,0.0,0.0,0.01616041,0.0018180013,-0.0037516356,-0.008216855,-0.0023890734,-0.0060175657,0.004338937,0.00499624,0.0027775764,-0.0052709947,0.008628488,0.0011997223,0.5311115,0.059748705,-0.12329662,-0.27004677,-0.07851857,-0.19776744,0.14259905,0.16420186,0.09128393,-0.17323112,0.28357548,0.039431322,2.244968,0.25255343,-0.52116495,-1.141467,-0.33189264,-0.8359479,0.6027555,0.69406885,0.3858499,-0.7322348,1.198652,0.16667426,0.34613627,0.038939446,-0.08035496,-0.17599502,-0.05117213,-0.12888902,0.09293474,0.10701375,0.05949172,-0.11289828,0.18481192,0.02569815,0.43216932,0.34613627,0.031272575,0.031272575,0.06318126,0.038939446,0.78851813,0.0035181046,-0.058456723,-0.08035496,-1.5772599,-0.0072598457,-0.11459881,-0.17599502,-0.015900724,-0.015900724,-0.06154896,-0.05117213,0.7803768,-0.0046232343,-0.09942702,-0.12888902,-1.5816449,-0.01164484,0.16305467,0.09293474,0.008396429,0.008396429,-0.103977114,0.10701375,0.79466844,0.00966841,0.11900672,0.05949172,-1.5646251,0.0053749084,-0.16193691,-0.11289828,-0.010200087,-0.010200087,0.4177246,0.18481192,0.8016973,0.016697288,-0.004496818,0.02569815,-1.5676783,0.0023217201
6,0.12,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.15,0.0,0.0,0.031272575,0.0035181046,-0.0072598457,-0.015900724,-0.0046232343,-0.01164484,0.008396429,0.00966841,0.0053749084,-0.010200087,0.016697288,0.0023217201,0.75560826,0.08500405,-0.17541312,-0.38419348,-0.11170784,-0.28136224,0.2028746,0.23360874,0.12986892,-0.2464546,0.40344068,0.056098748,1.8909248,0.21272412,-0.43897533,-0.9614519,-0.27955145,-0.7041141,0.50769776,0.5846107,0.32500008,-0.6167576,1.0096186,0.14038858,0.34613627,0.038939446,-0.08035496,-0.17599502,-0.05117213,-0.12888902,0.09293474,0.10701375,0.05949172,-0.11289828,0.18481192,0.02569815,0.4425621,0.34613627,0.05016659,0.05016659,0.05440258,0.038939446,0.79064363,0.005643606,-0.07038765,-0.08035496,-1.5816461,-0.011646032,-0.12799732,-0.17599502,-0.025507497,-0.025507497,-0.056121178,-0.05117213,0.77758354,-0.0074164867,-0.0925852,-0.12888902,-1.5886804,-0.018680334,0.16368711,0.09293474,0.013469316,0.013469316,-0.09876857,0.10701375,0.8005098,0.015509784,0.12449336,0.05949172,-1.5613778,0.008622289,-0.15844136,-0.11289828,-0.016362693,-0.016362693,0.42086416,0.18481192,0.81178534,0.026785314,-0.00066947704,0.02569815,-1.5662756,0.0037244558
7,0.14,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.15,0.0,0.0,0.05016659,0.005643606,-0.011646032,-0.025507497,-0.0074164867,-0.018680334,0.013469316,0.015509784,0.008622289,-0.016362693,0.026785314,0.0037244558,0.9447007,0.10627646,-0.21931064,-0.48033866,-0.13966298,-0.35177365,0.25364438,0.2920698,0.16236892,-0.30813035,0.5044025,0.070137605,1.4940745,0.16807988,-0.3468476,-0.7596709,-0.22088182,-0.5563405,0.4011467,0.46191818,0.256792,-0.48731798,0.7977293,0.11092539,0.34613627,0.038939446,-0.08035496,-0.17599502,-0.05117213,-0.12888902,0.09293474,0.10701375,0.05949172,-0.11289828,0.18481192,0.02569815,0.45155483,0.42278373,0.07327511,0.07327511,0.04399448,0.07037957,0.79360837,0.008608341,-0.08297073,-0.04867439,-1.5862191,-0.01621902,-0.14427875,-0.10463582,-0.035491865,-0.035491865,-0.05160778,-0.067129225,0.7740932,-0.0109068155,-0.08562199,-0.105595805,-1.5964558,-0.02645576,0.16394904,0.16182017,0.020446664,0.020446664,-0.09091092,-0.10741639,0.80384415,0.018844128,0.13083091,0.11577452,-1.5567163,0.01328373,-0.15148284,-0.16268297,-0.02429649,-0.02429649,0.42352486,0.41605437,0.8271687,0.042168677,0.004100556,-0.007886222,-1.5651883,0.0048117638
8,0.16,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.15,0.0,0.0,0.07327511,0.008608341,-0.01621902,-0.035491865,-0.0109068155,-0.02645576,0.020446664,0.018844128,0.01328373,-0.02429649,0.042168677,0.0048117638,1.1554261,0.14823656,-0.22865093,-0.4992184,-0.17451686,-0.38877308,0.3488674,0.16671754,0.23307452,-0.3966899,0.7691694,0.05436266,1.6321548,0.35118517,-0.015564978,-0.01960752,-0.27526656,-0.22708793,0.792981,-1.2441959,0.5971201,-0.7143749,2.2691514,-0.16725892,0.42278373,0.07037957,-0.04867439,-0.10463582,-0.067129225,-0.105595805,0.16182017,-0.10741639,0.11577452,-0.16268297,0.41605437,-0.007886222,0.44318122,0.43216932,0.09979811,0.09979811,0.12465534,0.06318126,0.79716027,0.012160242,-0.06150621,-0.058456723,-1.5909797,-0.020979643,-0.11022498,-0.11459881,-0.045674857,-0.045674857,-0.16803582,-0.06154896,0.7701416,-0.014858425,-0.08976496,-0.09942702,-1.6045867,-0.034586668,0.17239761,0.16305467,0.029029725,0.029029725,-0.20619147,-0.103977114,0.80474514,0.019745111,0.120768145,0.11900672,-1.5508089,0.019191146,-0.14484383,-0.16193691,-0.0336471,-0.0336471,0.58914983,0.4177246,0.8471171,0.0621171,-0.0062663234,-0.004496818,-1.5643814,0.0056186914
9,0.18,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.15,0.0,0.0,0.09979811,0.012160242,-0.020979643,-0.045674857,-0.014858425,-0.034586668,0.029029725,0.019745111,0.019191146,-0.0336471,0.0621171,0.0056186914,1.3261501,0.1775964,-0.23803328,-0.50914955,-0.19757926,-0.4065468,0.42915308,0.0450494,0.29537213,-0.46753055,0.9974207,0.040348254,1.1975095,0.22208819,-0.012962353,0.068582,-0.15586716,-0.038755797,0.6253853,-1.1702632,0.49730867,-0.52337635,1.849213,-0.14604768,0.43216932,0.06318126,-0.058456723,-0.11459881,-0.06154896,-0.09942702,0.16305467,-0.103977114,0.11900672,-0.16193691,0.4177246,-0.004496818,0.4449001,0.4425621,0.12888242,0.12888242,0.11218395,0.05440258,0.8010159,0.016015887,-0.083073296,-0.07038765,-1.5959572,-0.025957108,-0.12710518,-0.12799732,-0.05593506,-0.05593506,-0.1592625,-0.056121178,0.7659651,-0.019034922,-0.07788028,-0.0925852,-1.6126857,-0.042685628,0.17695335,0.16368711,0.038873676,0.038873676,-0.20471846,-0.09876857,0.80338895,0.018388927,0.13370997,0.12449336,-1.5438191,0.026180983,-0.12774107,-0.15844136,-0.043988533,-0.043988533,0.58866787,0.42086416,0.8708142,0.08581418,0.0030958229,-0.00066947704,-1.5638052,0.00619483
