step,time,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,action_0,delayed_action_0,joint_pos_0,joint_pos_rel_0,action_1,delayed_action_1,joint_pos_1,joint_pos_rel_1,action_2,delayed_action_2,joint_pos_2,joint_pos_rel_2,action_3,delayed_action_3,joint_pos_3,joint_pos_rel_3,action_4,delayed_action_4,joint_pos_4,joint_pos_rel_4,action_5,delayed_action_5,joint_pos_5,joint_pos_rel_5,action_6,delayed_action_6,joint_pos_6,joint_pos_rel_6,action_7,delayed_action_7,joint_pos_7,joint_pos_rel_7,action_8,delayed_action_8,joint_pos_8,joint_pos_rel_8,action_9,delayed_action_9,joint_pos_9,joint_pos_rel_9,action_10,delayed_action_10,joint_pos_10,joint_pos_rel_10,action_11,delayed_action_11,joint_pos_11,joint_pos_rel_11
0,0.0,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08115257,0.0,0.0,0.0,-0.08070316,0.0,0.785,0.0,-0.02844841,0.0,-1.57,0.0,0.028246833,0.0,0.0,0.0,-0.06234045,0.0,0.785,0.0,-0.106237866,0.0,-1.57,0.0,-0.10704582,0.0,0.0,0.0,0.21794398,0.0,0.785,0.0,0.18422255,0.0,-1.57,0.0,0.13053231,0.0,0.0,0.0,0.15662692,0.0,0.785,0.0,0.039215844,0.0,-1.57,0.0
1,0.02,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08115257,0.0,0.0,0.0,-0.08070316,0.0,0.785,0.0,-0.02844841,0.0,-1.57,0.0,0.028246833,0.0,0.0,0.0,-0.06234045,0.0,0.785,0.0,-0.106237866,0.0,-1.57,0.0,-0.10704582,0.0,0.0,0.0,0.21794398,0.0,0.785,0.0,0.18422255,0.0,-1.57,0.0,0.13053231,0.0,0.0,0.0,0.15662692,0.0,0.785,0.0,0.039215844,0.0,-1.57,0.0
2,0.04,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08115257,0.0,0.0,0.0,-0.08070316,0.0,0.785,0.0,-0.02844841,0.0,-1.57,0.0,0.028246833,0.0,0.0,0.0,-0.06234045,0.0,0.785,0.0,-0.106237866,0.0,-1.57,0.0,-0.10704582,0.0,0.0,0.0,0.21794398,0.0,0.785,0.0,0.18422255,0.0,-1.57,0.0,0.13053231,0.0,0.0,0.0,0.15662692,0.0,0.785,0.0,0.039215844,0.0,-1.57,0.0
3,0.06,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08115257,0.08115257,0.0012984411,0.0012984411,-0.08070316,-0.08070316,0.78370875,-0.001291275,-0.02844841,-0.02844841,-1.5704552,-0.00045514107,0.028246833,0.028246833,0.0004519493,0.0004519493,-0.06234045,-0.06234045,0.7840026,-0.0009974241,-0.106237866,-0.106237866,-1.5716999,-0.0016998053,-0.10704582,-0.10704582,-0.0017127331,-0.0017127331,0.21794398,0.21794398,0.78848714,0.0034871101,0.18422255,0.18422255,-1.5670525,0.002947569,0.13053231,0.13053231,0.002088517,0.002088517,0.15662692,0.15662692,0.78750604,0.0025060177,0.039215844,0.039215844,-1.5693727,0.0006273985
4,0.08,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.0012984411,-0.001291275,-0.00045514107,0.0004519493,-0.0009974241,-0.0016998053,-0.0017127331,0.0034871101,0.002947569,0.002088517,0.0025060177,0.0006273985,0.06492206,-0.06456251,-0.022758674,0.022597466,-0.0498724,-0.08499031,-0.08563665,0.17435522,0.14737797,0.10442585,0.12530155,0.03137264,0.5959845,-0.59268343,-0.20892516,0.20744474,-0.457829,-0.7802111,-0.7861446,1.6005808,1.3529296,0.9586293,1.1502684,0.28800172,0.08115257,-0.08070316,-0.02844841,0.028246833,-0.06234045,-0.106237866,-0.10704582,0.21794398,0.18422255,0.13053231,0.15662692,0.039215844,0.029853009,0.08115257,0.0037888512,0.0037888512,-0.06420252,-0.08070316,0.7812321,-0.0037679076,0.016794719,-0.02844841,-1.5713282,-0.0013281107,-0.08300646,0.028246833,0.001318788,0.001318788,-0.090854585,-0.06234045,0.7820895,-0.0029105544,-0.12471264,-0.106237866,-1.5749601,-0.00496006,-0.026099995,-0.10704582,-0.0049977554,-0.0049977554,0.18377858,0.21794398,0.7951754,0.010175347,0.1404627,0.18422255,-1.5613991,0.00860095,0.16950656,0.13053231,0.0060942923,0.0060942923,0.13368016,0.15662692,0.7923126,0.007312596,-0.009351468,0.039215844,-1.5681692,0.0018308163
5,0.1,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.0037888512,-0.0037679076,-0.0013281107,0.001318788,-0.0029105544,-0.00496006,-0.0049977554,0.010175347,0.00860095,0.0060942923,0.007312596,0.0018308163,0.12452051,-0.123830855,-0.043651186,0.04334194,-0.09565529,-0.1630114,-0.16425112,0.3344133,0.28267092,0.20028877,0.2403284,0.06017281,0.5263387,-0.52342314,-0.18451138,0.18320309,-0.40432748,-0.6890365,-0.6942769,1.41354,1.194829,0.8466054,1.0158498,0.25434697,0.08115257,-0.08070316,-0.02844841,0.028246833,-0.06234045,-0.106237866,-0.10704582,0.21794398,0.18422255,0.13053231,0.15662692,0.039215844,0.03752959,0.08115257,0.0073319385,0.0073319385,-0.07604346,-0.08070316,0.77770865,-0.0072913766,0.014320083,-0.02844841,-1.5725702,-0.0025701523,-0.07778311,0.028246833,0.002552033,0.002552033,-0.08243485,-0.06234045,0.7793677,-0.005632341,-0.11932,-0.106237866,-1.5795984,-0.009598374,-0.02698905,-0.10704582,-0.009671332,-0.009671332,0.19181117,0.21794398,0.8046907,0.019690692,0.14436865,0.18422255,-1.553356,0.016644001,0.16719897,0.13053231,0.011793278,0.011793278,0.13599828,0.15662692,0.7991509,0.014150858,-0.0035261265,0.039215844,-1.566457,0.0035430193
6,0.12,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.0073319385,-0.0072913766,-0.0025701523,0.002552033,-0.005632341,-0.009598374,-0.009671332,0.019690692,0.016644001,0.011793278,0.014150858,0.0035430193,0.17715438,-0.17617317,-0.062102325,0.06166225,-0.13608804,-0.23191506,-0.23367882,0.47576728,0.40215382,0.2849493,0.34191337,0.08560751,0.44333237,-0.44087648,-0.15541315,0.15431102,-0.34056252,-0.58037156,-0.5847858,1.1906174,1.0063988,0.7130914,0.85564506,0.21423435,0.08115257,-0.08070316,-0.02844841,0.028246833,-0.06234045,-0.106237866,-0.10704582,0.21794398,0.18422255,0.13053231,0.15662692,0.039215844,0.045605972,0.08115257,0.0117616905,0.0117616905,-0.09037957,-0.08070316,0.77330345,-0.011696577,0.011034615,-0.02844841,-1.574123,-0.0041229725,-0.0709628,0.028246833,0.0040939,0.0040939,-0.06971383,-0.06234045,0.7759648,-0.00903523,-0.112860106,-0.106237866,-1.5853975,-0.0153974295,-0.02807565,-0.10704582,-0.01551448,-0.01551448,0.20095848,0.21794398,0.8165873,0.031587303,0.1496588,0.18422255,-1.5433002,0.0266999,0.16408712,0.13053231,0.018918447,0.018918447,0.13771902,0.15662692,0.80770046,0.022700429,0.0034356737,0.039215844,-1.5643164,0.0056836605
7,0.14,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.0117616905,-0.011696577,-0.0041229725,0.0040939,-0.00903523,-0.0153974295,-0.01551448,0.031587303,0.0266999,0.018918447,0.022700429,0.0056836605,0.22148761,-0.22026081,-0.07764364,0.07709335,-0.17014429,-0.28995222,-0.2921574,0.594829,0.50279367,0.35625845,0.4274779,0.10703094,0.35028973,-0.34834948,-0.12279737,0.12192559,-0.26908818,-0.4585681,-0.46205616,0.9407409,0.79518443,0.5634341,0.67606974,0.1692724,0.08115257,-0.08070316,-0.02844841,0.028246833,-0.06234045,-0.106237866,-0.10704582,0.21794398,0.18422255,0.13053231,0.15662692,0.039215844,0.053244736,0.029853009,0.016071228,0.016071228,-0.10576709,-0.06420252,0.7684655,-0.016534507,0.006879829,0.016794719,-1.5751976,-0.005197525,-0.06340729,-0.08300646,0.0040995656,0.0040995656,-0.054086883,-0.090854585,0.7715675,-0.013432503,-0.10614606,-0.12471264,-1.5924093,-0.0224092,-0.029421065,-0.026099995,-0.020986607,-0.020986607,0.21044236,0.18377858,0.8298187,0.0448187,0.15531307,0.1404627,-1.5323541,0.037645936,0.15991202,0.16950656,0.027794072,0.027794072,0.13909431,0.13368016,0.817235,0.032234967,0.011444638,-0.009351468,-1.5626143,0.0073857307
8,0.16,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.016071228,-0.016534507,-0.005197525,0.0040995656,-0.013432503,-0.0224092,-0.020986607,0.0448187,0.037645936,0.027794072,0.032234967,0.0073857307,0.21547693,-0.24189529,-0.05372896,0.00028327852,-0.21986432,-0.3505889,-0.27360636,0.6615708,0.5473043,0.44378126,0.4767275,0.08510435,-0.12605405,-0.12812062,0.24438234,-0.72978634,-0.40198404,-0.46385998,0.26378894,0.4223446,0.247714,0.68945676,0.31531858,-0.23553582,0.029853009,-0.06420252,0.016794719,-0.08300646,-0.090854585,-0.12471264,-0.026099995,0.18377858,0.1404627,0.16950656,0.13368016,-0.009351468,0.068238035,0.03752959,0.020251485,0.020251485,-0.09158213,-0.07604346,0.7631819,-0.021818101,0.000838615,0.014320083,-1.575823,-0.005822897,-0.0022478066,-0.07778311,0.0027292322,0.0027292322,-0.050587144,-0.08243485,0.766501,-0.018499017,-0.08519945,-0.11932,-1.6002625,-0.03026247,-0.06865102,-0.02698905,-0.02594538,-0.02594538,0.21331464,0.19181117,0.84402335,0.05902332,0.14583384,0.14436865,-1.5208501,0.04914999,0.14797293,0.16719897,0.03801169,0.03801169,0.16654344,0.13599828,0.8274373,0.042437255,0.037738983,-0.0035261265,-1.5612901,0.0087099075
9,0.18,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.15,0.0,0.0,0.020251485,-0.021818101,-0.005822897,0.0027292322,-0.018499017,-0.03026247,-0.02594538,0.05902332,0.04914999,0.03801169,0.042437255,0.0087099075,0.20901279,-0.2641801,-0.031270362,-0.06851667,-0.253327,-0.39266065,-0.24793871,0.7102313,0.5752005,0.5108808,0.5101138,0.06621099,-0.12829342,-0.12716822,0.22336261,-0.6316743,-0.23683138,-0.2740295,0.32318303,0.23500085,0.08094909,0.4739643,0.15393302,-0.2006737,0.03752959,-0.07604346,0.014320083,-0.07778311,-0.08243485,-0.11932,-0.02698905,0.19181117,0.14436865,0.16719897,0.13599828,-0.0035261265,0.07210241,0.045605972,0.024304375,0.024304375,-0.10891376,-0.09037957,0.7574146,-0.027585447,-0.0073520914,0.011034615,-1.5760542,-0.006054163,-0.004433211,-0.0709628,0.00020467513,0.00020467513,-0.04052875,-0.06971383,0.76116437,-0.023835659,-0.07732643,-0.112860106,-1.6085604,-0.03856039,-0.06992038,-0.02807565,-0.030275173,-0.030275173,0.22291552,0.20095848,0.85884434,0.07384431,0.15431407,0.1496588,-1.5090995,0.06090057,0.14374433,0.16408712,0.049127445,0.049127445,0.170442,0.13771902,0.83797497,0.05297494,0.041570153,0.0034356737,-1.5602559,0.009744167
