step,time,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,action_0,delayed_action_0,joint_pos_0,joint_pos_rel_0,action_1,delayed_action_1,joint_pos_1,joint_pos_rel_1,action_2,delayed_action_2,joint_pos_2,joint_pos_rel_2,action_3,delayed_action_3,joint_pos_3,joint_pos_rel_3,action_4,delayed_action_4,joint_pos_4,joint_pos_rel_4,action_5,delayed_action_5,joint_pos_5,joint_pos_rel_5,action_6,delayed_action_6,joint_pos_6,joint_pos_rel_6,action_7,delayed_action_7,joint_pos_7,joint_pos_rel_7,action_8,delayed_action_8,joint_pos_8,joint_pos_rel_8,action_9,delayed_action_9,joint_pos_9,joint_pos_rel_9,action_10,delayed_action_10,joint_pos_10,joint_pos_rel_10,action_11,delayed_action_11,joint_pos_11,joint_pos_rel_11
0,0.0,0.0,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036444962,0.0,0.0,0.0,-0.11335439,0.0,0.785,0.0,-0.023378924,0.0,-1.57,0.0,-0.117346,0.0,0.0,0.0,-0.009345438,0.0,0.785,0.0,-0.15802011,0.0,-1.57,0.0,0.08260603,0.0,0.0,0.0,0.25447544,0.0,0.785,0.0,0.15774024,0.0,-1.57,0.0,-0.0014960612,0.0,0.0,0.0,0.02434048,0.0,0.785,0.0,0.008174891,0.0,-1.57,0.0
1,0.02,0.0,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036444962,0.0,0.0,0.0,-0.11335439,0.0,0.785,0.0,-0.023378924,0.0,-1.57,0.0,-0.117346,0.0,0.0,0.0,-0.009345438,0.0,0.785,0.0,-0.15802011,0.0,-1.57,0.0,0.08260603,0.0,0.0,0.0,0.25447544,0.0,0.785,0.0,0.15774024,0.0,-1.57,0.0,-0.0014960612,0.0,0.0,0.0,0.02434048,0.0,0.785,0.0,0.008174891,0.0,-1.57,0.0
2,0.04,0.0,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036444962,0.0,0.0,0.0,-0.11335439,0.0,0.785,0.0,-0.023378924,0.0,-1.57,0.0,-0.117346,0.0,0.0,0.0,-0.009345438,0.0,0.785,0.0,-0.15802011,0.0,-1.57,0.0,0.08260603,0.0,0.0,0.0,0.25447544,0.0,0.785,0.0,0.15774024,0.0,-1.57,0.0,-0.0014960612,0.0,0.0,0.0,0.02434048,0.0,0.785,0.0,0.008174891,0.0,-1.57,0.0
3,0.06,0.0,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036444962,0.036444962,0.0005831194,0.0005831194,-0.11335439,-0.11335439,0.7831864,-0.0018136501,-0.023378924,-0.023378924,-1.5703741,-0.00037407875,-0.117346,-0.117346,-0.001877536,-0.001877536,-0.009345438,-0.009345438,0.7848505,-0.00014954805,-0.15802011,-0.15802011,-1.5725284,-0.0025283098,0.08260603,0.08260603,0.0013216964,0.0013216964,0.25447544,0.25447544,0.7890716,0.0040715933,0.15774024,0.15774024,-1.5674762,0.002523899,-0.0014960612,-0.0014960612,-2.3936978e-05,-2.3936978e-05,0.02434048,0.02434048,0.7853895,0.00038945675,0.008174891,0.008174891,-1.5698693,0.00013077259
4,0.08,0.0,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.15,0.0,0.0005831194,-0.0018136501,-0.00037407875,-0.001877536,-0.00014954805,-0.0025283098,0.0013216964,0.0040715933,0.002523899,-2.3936978e-05,0.00038945675,0.00013077259,0.02915597,-0.09068356,-0.018703079,-0.0938768,-0.00747633,-0.12641601,0.066084825,0.20358038,0.12619229,-0.0011968489,0.019472407,0.0065399166,0.2676518,-0.83247536,-0.171694,-0.86178905,-0.068632364,-1.1604992,0.6066587,1.8688681,1.1584443,-0.010987073,0.17875656,0.06003685,0.036444962,-0.11335439,-0.023378924,-0.117346,-0.009345438,-0.15802011,0.08260603,0.25447544,0.15774024,-0.0014960612,0.02434048,0.008174891,-0.018263102,0.036444962,0.0017015424,0.0017015424,-0.077870116,-0.11335439,0.77970773,-0.0052922964,-0.03230597,-0.023378924,-1.5710915,-0.0010914803,-0.059050705,-0.117346,-0.00547865,-0.00547865,0.025882218,-0.009345438,0.78456366,-0.0004363656,-0.17777878,-0.15802011,-1.5773777,-0.0073776245,0.1651907,0.08260603,0.0038567102,0.0038567102,0.27202263,0.25447544,0.79688096,0.011880934,0.20920242,0.15774024,-1.5626354,0.0073646307,0.08005338,-0.0014960612,-6.98481e-05,-6.98481e-05,0.026037611,0.02434048,0.78613645,0.0011364222,-0.005488803,0.008174891,-1.5696185,0.00038158894
5,0.1,0.0,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.15,0.0,0.0017015424,-0.0052922964,-0.0010914803,-0.00547865,-0.0004363656,-0.0073776245,0.0038567102,0.011880934,0.0073646307,-6.98481e-05,0.0011364222,0.00038158894,0.05592115,-0.17393109,-0.035872478,-0.18005571,-0.014339566,-0.24246593,0.1267507,0.39046717,0.24203672,-0.0022955562,0.03734806,0.012543602,0.23637442,-0.73519325,-0.15163086,-0.76108176,-0.060611665,-1.0248852,0.5357655,1.6504753,1.0230703,-0.009703143,0.1578673,0.053021945,0.036444962,-0.11335439,-0.023378924,-0.117346,-0.009345438,-0.15802011,0.08260603,0.25447544,0.15774024,-0.0014960612,0.02434048,0.008174891,-0.009665623,0.036444962,0.0032927142,0.0032927142,-0.08305501,-0.11335439,0.7747587,-0.01024133,-0.032909602,-0.023378924,-1.5721122,-0.0021121502,-0.06516561,-0.117346,-0.0106019275,-0.0106019275,0.031976048,-0.009345438,0.78415567,-0.0008443594,-0.17406884,-0.15802011,-1.5842768,-0.014276743,0.1560092,0.08260603,0.007463255,0.007463255,0.26357892,0.25447544,0.80799127,0.02299124,0.20648342,0.15774024,-1.5557486,0.014251471,0.068070866,-0.0014960612,-0.00013516551,-0.00013516551,0.034525335,0.02434048,0.78719914,0.0021991134,-0.0028784848,0.008174891,-1.5692616,0.00073850155
6,0.12,0.0,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.15,0.0,0.0032927142,-0.01024133,-0.0021121502,-0.0106019275,-0.0008443594,-0.014276743,0.007463255,0.02299124,0.014251471,-0.00013516551,0.0021991134,0.00073850155,0.07955859,-0.24745041,-0.051035564,-0.2561639,-0.020400733,-0.34495443,0.18032725,0.5555147,0.34434375,-0.0032658705,0.05313479,0.017845796,0.19909698,-0.61924905,-0.1277186,-0.6410552,-0.051053178,-0.863255,0.45127258,1.3901865,0.8617274,-0.008172907,0.13297087,0.044660248,0.036444962,-0.11335439,-0.023378924,-0.117346,-0.009345438,-0.15802011,0.08260603,0.25447544,0.15774024,-0.0014960612,0.02434048,0.008174891,-0.0008069873,0.036444962,0.00528208,0.00528208,-0.09041125,-0.11335439,0.7685712,-0.016428828,-0.034566797,-0.023378924,-1.5733883,-0.0033882856,-0.07283676,-0.117346,-0.017007316,-0.017007316,0.039725263,-0.009345438,0.7836456,-0.001354456,-0.17051199,-0.15802011,-1.5929024,-0.02290237,0.14669515,0.08260603,0.011972345,0.011972345,0.25495723,0.25447544,0.82188195,0.036881924,0.20330441,0.15774024,-1.5471382,0.022861838,0.05347866,-0.0014960612,-0.00021682873,-0.00021682873,0.044545446,0.02434048,0.7885278,0.0035277605,0.0003473111,0.008174891,-1.5688154,0.0011847019
7,0.14,0.0,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.15,0.0,0.00528208,-0.016428828,-0.0033882856,-0.017007316,-0.001354456,-0.02290237,0.011972345,0.036881924,0.022861838,-0.00021682873,0.0035277605,0.0011847019,0.09946828,-0.30937532,-0.06380743,-0.3202694,-0.02550605,-0.43127993,0.22545451,0.69453335,0.43051648,-0.0040831612,0.06643188,0.022311822,0.15731227,-0.48928666,-0.1009145,-0.50651634,-0.04033898,-0.6820823,0.35656348,1.0984263,0.6808752,-0.00645765,0.105063975,0.03528803,0.036444962,-0.11335439,-0.023378924,-0.117346,-0.009345438,-0.15802011,0.08260603,0.25447544,0.15774024,-0.0014960612,0.02434048,0.008174891,0.007854767,-0.018263102,0.0067107407,0.0067107407,-0.099932425,-0.077870116,0.76197284,-0.023027182,-0.03728942,-0.03230597,-1.5750091,-0.005009055,-0.08121571,-0.059050705,-0.02349301,-0.02349301,0.048335027,0.025882218,0.7836184,-0.0013816357,-0.167458,-0.17777878,-1.6032083,-0.03320825,0.13786387,0.1651907,0.018515917,0.018515917,0.24664201,0.27202263,0.8382502,0.053250194,0.19940087,0.20920242,-1.5363427,0.033657312,0.036751904,0.08005338,0.0009933838,0.0009933838,0.056065172,0.026037611,0.7900937,0.0050936937,0.0040717223,-0.005488803,-1.5685172,0.0014828444
8,0.16,0.0,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.15,0.0,0.0067107407,-0.023027182,-0.005009055,-0.02349301,-0.0013816357,-0.03320825,0.018515917,0.053250194,0.033657312,0.0009933838,0.0050936937,0.0014828444,0.07143306,-0.32991654,-0.08104056,-0.3242848,-0.0013578217,-0.5152951,0.3271786,0.8184137,0.53977376,0.06051063,0.07829593,0.01490961,-0.2891932,-0.08956788,-0.13778248,0.06562492,0.22984305,-0.63325024,0.86168164,0.914971,0.8652164,0.5942776,0.087653525,-0.075091295,-0.018263102,-0.077870116,-0.03230597,-0.059050705,0.025882218,-0.17777878,0.1651907,0.27202263,0.20920242,0.08005338,0.026037611,-0.005488803,-0.009676442,-0.009665623,0.007698575,0.007698575,-0.0736809,-0.08305501,0.7551124,-0.029887617,-0.018963799,-0.032909602,-1.5769151,-0.0069150925,-0.06622608,-0.06516561,-0.029945295,-0.029945295,0.04646888,0.031976048,0.7841484,-0.00085163116,-0.17353824,-0.17406884,-1.6147213,-0.044721246,0.14142719,0.1560092,0.026635949,0.026635949,0.25902203,0.26357892,0.85631335,0.07131332,0.21399152,0.20648342,-1.5238603,0.046139717,0.03954546,0.068070866,0.0032004314,0.0032004314,0.04269569,0.034525335,0.79197073,0.0069707036,-0.004037959,-0.0028784848,-1.5683274,0.0016726255
9,0.18,0.0,0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.15,0.0,0.007698575,-0.029887617,-0.0069150925,-0.029945295,-0.00085163116,-0.044721246,0.026635949,0.07131332,0.046139717,0.0032004314,0.0069707036,0.0016726255,0.049391724,-0.34302124,-0.09530175,-0.32261422,0.02650157,-0.5756523,0.40600157,0.9031558,0.62412006,0.11035238,0.09385145,0.009488837,-0.22519803,-0.014727664,-0.1049847,0.11910696,0.25618416,-0.38918534,0.61889756,0.5160401,0.60157144,0.43818384,0.11774522,-0.054533847,-0.009665623,-0.08305501,-0.032909602,-0.06516561,0.031976048,-0.17406884,0.1560092,0.26357892,0.20648342,0.068070866,0.034525335,-0.0028784848,-0.0035077631,-0.0008069873,0.008377751,0.008377751,-0.08685268,-0.09041125,0.7481048,-0.036895216,-0.026716635,-0.034566797,-1.5790577,-0.009057641,-0.07327308,-0.07283676,-0.036282104,-0.036282104,0.05870324,0.039725263,0.7853148,0.00031477213,-0.17010441,-0.17051199,-1.6269557,-0.056955695,0.13148054,0.14669515,0.03584475,0.03584475,0.25131765,0.25495723,0.8752706,0.09027058,0.21393996,0.20330441,-1.5102257,0.0597744,0.018562533,0.05347866,0.0060503716,0.0060503716,0.06172162,0.044545446,0.7942436,0.009243548,0.003757807,0.0003473111,-1.5681951,0.0018049479
