step,time,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,action_0,delayed_action_0,joint_pos_0,joint_pos_rel_0,action_1,delayed_action_1,joint_pos_1,joint_pos_rel_1,action_2,delayed_action_2,joint_pos_2,joint_pos_rel_2,action_3,delayed_action_3,joint_pos_3,joint_pos_rel_3,action_4,delayed_action_4,joint_pos_4,joint_pos_rel_4,action_5,delayed_action_5,joint_pos_5,joint_pos_rel_5,action_6,delayed_action_6,joint_pos_6,joint_pos_rel_6,action_7,delayed_action_7,joint_pos_7,joint_pos_rel_7,action_8,delayed_action_8,joint_pos_8,joint_pos_rel_8,action_9,delayed_action_9,joint_pos_9,joint_pos_rel_9,action_10,delayed_action_10,joint_pos_10,joint_pos_rel_10,action_11,delayed_action_11,joint_pos_11,joint_pos_rel_11
0,0.0,0.0,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20452622,0.0,0.0,0.0,0.094453044,0.0,0.785,0.0,-0.08914409,0.0,-1.57,0.0,0.026297588,0.0,0.0,0.0,-0.18651232,0.0,0.785,0.0,-0.07702748,0.0,-1.57,0.0,0.015598819,0.0,0.0,0.0,0.00909735,0.0,0.785,0.0,-0.0057296846,0.0,-1.57,0.0,-0.15282978,0.0,0.0,0.0,0.31226754,0.0,0.785,0.0,0.15435724,0.0,-1.57,0.0
1,0.02,0.0,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20452622,0.0,0.0,0.0,0.094453044,0.0,0.785,0.0,-0.08914409,0.0,-1.57,0.0,0.026297588,0.0,0.0,0.0,-0.18651232,0.0,0.785,0.0,-0.07702748,0.0,-1.57,0.0,0.015598819,0.0,0.0,0.0,0.00909735,0.0,0.785,0.0,-0.0057296846,0.0,-1.57,0.0,-0.15282978,0.0,0.0,0.0,0.31226754,0.0,0.785,0.0,0.15435724,0.0,-1.57,0.0
2,0.04,0.0,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20452622,0.0,0.0,0.0,0.094453044,0.0,0.785,0.0,-0.08914409,0.0,-1.57,0.0,0.026297588,0.0,0.0,0.0,-0.18651232,0.0,0.785,0.0,-0.07702748,0.0,-1.57,0.0,0.015598819,0.0,0.0,0.0,0.00909735,0.0,0.785,0.0,-0.0057296846,0.0,-1.57,0.0,-0.15282978,0.0,0.0,0.0,0.31226754,0.0,0.785,0.0,0.15435724,0.0,-1.57,0.0
3,0.06,0.0,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20452622,0.20452622,0.003272419,0.003272419,0.094453044,0.094453044,0.7865113,0.0015112758,-0.08914409,-0.08914409,-1.5714264,-0.0014263391,0.026297588,0.026297588,0.00042076135,0.00042076135,-0.18651232,-0.18651232,0.7820158,-0.0029842257,-0.07702748,-0.07702748,-1.5712324,-0.0012323856,0.015598819,0.015598819,0.0002495811,0.0002495811,0.00909735,0.00909735,0.7851456,0.00014555454,-0.0057296846,-0.0057296846,-1.5700917,-9.1671944e-05,-0.15282978,-0.15282978,-0.0024452764,-0.0024452764,0.31226754,0.31226754,0.7899963,0.0049962997,0.15435724,0.15435724,-1.5675304,0.0024696589
4,0.08,0.0,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.15,0.0,0.003272419,0.0015112758,-0.0014263391,0.00042076135,-0.0029842257,-0.0012323856,0.0002495811,0.00014555454,-9.1671944e-05,-0.0024452764,0.0049962997,0.0024696589,0.16362096,0.07556248,-0.07131519,0.021038068,-0.14920987,-0.061622046,0.012479055,0.00727787,-0.00458374,-0.12226382,0.24981403,0.12348575,1.5020405,0.6936631,-0.6546729,0.19312948,-1.3697463,-0.5656913,0.11455772,0.06681089,-0.042078782,-1.1223819,2.2932925,1.1336001,0.20452622,0.094453044,-0.08914409,0.026297588,-0.18651232,-0.07702748,0.015598819,0.00909735,-0.0057296846,-0.15282978,0.31226754,0.15435724,0.16348833,0.20452622,0.009548919,0.009548919,0.09467607,0.094453044,0.7894099,0.0044098496,-0.056709014,-0.08914409,-1.574162,-0.004161954,0.01703002,0.026297588,0.0012277816,0.0012277816,-0.1303669,-0.18651232,0.7762921,-0.008707941,-0.08814693,-0.07702748,-1.5735962,-0.0035961866,0.13668655,0.015598819,0.0007282776,0.0007282776,-0.03856408,0.00909735,0.78542477,0.0004247427,0.13094419,-0.0057296846,-1.5702676,-0.00026750565,-0.2290031,-0.15282978,-0.0071353167,-0.0071353167,0.45646566,0.31226754,0.7995792,0.014579177,0.13649309,0.15435724,-1.5627935,0.007206559
5,0.1,0.0,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.15,0.0,0.009548919,0.0044098496,-0.004161954,0.0012277816,-0.008707941,-0.0035961866,0.0007282776,0.0004247427,-0.00026750565,-0.0071353167,0.014579177,0.007206559,0.313825,0.14492878,-0.13678248,0.04035102,-0.2861845,-0.11819117,0.023934826,0.013958959,-0.008791618,-0.23450202,0.4791433,0.23684576,1.3265145,0.61260283,-0.57816947,0.17056069,-1.2096795,-0.49958593,0.1011707,0.059003342,-0.037161503,-0.9912222,2.025302,1.0011297,0.20452622,0.094453044,-0.08914409,0.026297588,-0.18651232,-0.07702748,0.015598819,0.00909735,-0.0057296846,-0.15282978,0.31226754,0.15435724,0.1636635,0.20452622,0.01847845,0.01847845,0.10205848,0.094453044,0.7935337,0.008533657,-0.06397552,-0.08914409,-1.578054,-0.008053899,0.016051808,0.026297588,0.0023759233,0.0023759233,-0.1362779,-0.18651232,0.768149,-0.016851008,-0.07967349,-0.07702748,-1.5769593,-0.0069592,0.13724785,0.015598819,0.0014093155,0.0014093155,-0.047023486,0.00909735,0.785822,0.00082194805,0.12319519,-0.0057296846,-1.5705177,-0.00051760674,-0.22404297,-0.15282978,-0.0138078015,-0.0138078015,0.45560825,0.31226754,0.8132127,0.028212667,0.14711174,0.15435724,-1.5560544,0.013945699
6,0.12,0.0,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.15,0.0,0.01847845,0.008533657,-0.008053899,0.0023759233,-0.016851008,-0.0069592,0.0014093155,0.00082194805,-0.00051760674,-0.0138078015,0.028212667,0.013945699,0.44647646,0.20618907,-0.19459942,0.05740709,-0.40715244,-0.16814975,0.034051895,0.019859293,-0.012507768,-0.33362424,0.68167347,0.33695874,1.1173162,0.51599175,-0.48698983,0.14366238,-1.0189064,-0.4207984,0.08521555,0.049697887,-0.03130181,-0.8349012,1.7059009,0.84324706,0.20452622,0.094453044,-0.08914409,0.026297588,-0.18651232,-0.07702748,0.015598819,0.00909735,-0.0057296846,-0.15282978,0.31226754,0.15435724,0.16453138,0.20452622,0.029642612,0.029642612,0.10940958,0.094453044,0.7986894,0.013689399,-0.073464036,-0.08914409,-1.58292,-0.012919903,0.014519017,0.026297588,0.00381139,0.00381139,-0.14313984,-0.18651232,0.7579681,-0.027031898,-0.06854987,-0.07702748,-1.5811639,-0.011163831,0.13544232,0.015598819,0.0022607846,0.0022607846,-0.057388786,0.00909735,0.78631854,0.0013185143,0.11382119,-0.0057296846,-1.5708305,-0.0008304119,-0.21800357,-0.15282978,-0.022150088,-0.022150088,0.45393753,0.31226754,0.83025795,0.045257926,0.15940297,0.15435724,-1.5476286,0.022371411
7,0.14,0.0,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.15,0.0,0.029642612,0.013689399,-0.012919903,0.00381139,-0.027031898,-0.011163831,0.0022607846,0.0013185143,-0.0008304119,-0.022150088,0.045257926,0.022371411,0.5582081,0.25778824,-0.2432984,0.07177333,-0.5090431,-0.21022959,0.042573452,0.024829082,-0.01563795,-0.41711438,0.85226357,0.42128342,0.88282394,0.40770024,-0.38478428,0.1135118,-0.8050669,-0.3324844,0.06733127,0.03926793,-0.024731837,-0.65967965,1.3478817,0.66627324,0.20452622,0.094453044,-0.08914409,0.026297588,-0.18651232,-0.07702748,0.015598819,0.00909735,-0.0057296846,-0.15282978,0.31226754,0.15435724,0.16576803,0.16348833,0.041915815,0.041915815,0.11495469,0.09467607,0.80466413,0.019664109,-0.08385048,-0.056709014,-1.5880365,-0.018036485,0.011292037,0.01703002,0.005325599,0.005325599,-0.15023068,-0.1303669,0.74707544,-0.037924588,-0.05675988,-0.08814693,-1.5862113,-0.016211271,0.13043007,0.13668655,0.00518432,0.00518432,-0.06748544,-0.03856408,0.7861311,0.0011310577,0.102694556,0.13094419,-1.5690058,0.0009942055,-0.20953347,-0.2290031,-0.03303051,-0.03303051,0.44958055,0.45646566,0.8523061,0.0673061,0.17214543,0.13649309,-1.5381563,0.03184378
8,0.16,0.0,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.15,0.0,0.041915815,0.019664109,-0.018036485,0.005325599,-0.037924588,-0.016211271,0.00518432,0.0011310577,0.0009942055,-0.03303051,0.0673061,0.03184378,0.6136602,0.2987366,-0.2558289,0.07571045,-0.54463345,-0.25237352,0.14617676,-0.0093732625,0.09122801,-0.544021,1.1024102,0.47361937,0.33042344,0.29341412,-0.037174214,0.013175344,-0.16382524,-0.3196083,0.9374549,-0.32192296,0.98603266,-1.0315261,2.023622,0.34563357,0.16348833,0.09467607,-0.056709014,0.01703002,-0.1303669,-0.08814693,0.13668655,-0.03856408,0.13094419,-0.2290031,0.45646566,0.13649309,0.12146206,0.1636635,0.05485267,0.05485267,0.09564606,0.10205848,0.8113438,0.026343763,-0.04227277,-0.06397552,-1.5933437,-0.023343682,0.048171643,0.016051808,0.0068505076,0.0068505076,-0.11159028,-0.1362779,0.73576057,-0.049239457,-0.08135247,-0.07967349,-1.5917624,-0.021762371,0.13100146,0.13724785,0.009991745,0.009991745,-0.04724915,-0.047023486,0.7851644,0.00016438961,0.13536474,0.12319519,-1.5653332,0.0046668053,-0.16245088,-0.22404297,-0.04589462,-0.04589462,0.438546,0.45560825,0.87838787,0.09338784,0.1816527,0.14711174,-1.5278227,0.04217732
9,0.18,0.0,-0.105000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.15,0.0,0.05485267,0.026343763,-0.023343682,0.0068505076,-0.049239457,-0.021762371,0.009991745,0.00016438961,0.0046668053,-0.04589462,0.09338784,0.04217732,0.6468427,0.33398402,-0.26535952,0.07624542,-0.56574476,-0.27755564,0.24037129,-0.048333116,0.18363202,-0.6432055,1.3040866,0.5166777,0.10824402,0.22797604,-0.0056259036,-0.019316364,-0.019519616,-0.15041247,0.81792915,-0.35465196,0.8190764,-0.7364272,1.4986172,0.24371728,0.1636635,0.10205848,-0.06397552,0.016051808,-0.1362779,-0.07967349,0.13724785,-0.047023486,0.12319519,-0.22404297,0.45560825,0.14711174,0.122838475,0.16453138,0.0680199,0.0680199,0.1067437,0.10940958,0.818597,0.033596992,-0.05882681,-0.073464036,-1.598814,-0.028813958,0.044243924,0.014519017,0.008312259,0.008312259,-0.12197526,-0.14313984,0.72429687,-0.06070316,-0.06776298,-0.06854987,-1.5974364,-0.027436376,0.121930495,0.13544232,0.016406141,0.016406141,-0.06008734,-0.057388786,0.78332263,-0.0016773939,0.12930071,0.11382119,-1.5601724,0.009827614,-0.1569206,-0.21800357,-0.060134955,-0.060134955,0.4431178,0.45393753,0.9074401,0.1224401,0.19347972,0.15940297,-1.516805,0.053195
