step,time,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,action_0,delayed_action_0,joint_pos_0,joint_pos_rel_0,action_1,delayed_action_1,joint_pos_1,joint_pos_rel_1,action_2,delayed_action_2,joint_pos_2,joint_pos_rel_2,action_3,delayed_action_3,joint_pos_3,joint_pos_rel_3,action_4,delayed_action_4,joint_pos_4,joint_pos_rel_4,action_5,delayed_action_5,joint_pos_5,joint_pos_rel_5,action_6,delayed_action_6,joint_pos_6,joint_pos_rel_6,action_7,delayed_action_7,joint_pos_7,joint_pos_rel_7,action_8,delayed_action_8,joint_pos_8,joint_pos_rel_8,action_9,delayed_action_9,joint_pos_9,joint_pos_rel_9,action_10,delayed_action_10,joint_pos_10,joint_pos_rel_10,action_11,delayed_action_11,joint_pos_11,joint_pos_rel_11
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06390828,0.0,0.0,0.0,-0.055581443,0.0,0.785,0.0,-0.0037416443,0.0,-1.57,0.0,-0.037299287,0.0,0.0,0.0,-0.009984881,0.0,0.785,0.0,-0.0796038,0.0,-1.57,0.0,-0.044285856,0.0,0.0,0.0,0.053845458,0.0,0.785,0.0,0.0074020065,0.0,-1.57,0.0,0.015068151,0.0,0.0,0.0,0.030908663,0.0,0.785,0.0,-0.022856629,0.0,-1.57,0.0
1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06390828,0.0,0.0,0.0,-0.055581443,0.0,0.785,0.0,-0.0037416443,0.0,-1.57,0.0,-0.037299287,0.0,0.0,0.0,-0.009984881,0.0,0.785,0.0,-0.0796038,0.0,-1.57,0.0,-0.044285856,0.0,0.0,0.0,0.053845458,0.0,0.785,0.0,0.0074020065,0.0,-1.57,0.0,0.015068151,0.0,0.0,0.0,0.030908663,0.0,0.785,0.0,-0.022856629,0.0,-1.57,0.0
2,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06390828,0.0,0.0,0.0,-0.055581443,0.0,0.785,0.0,-0.0037416443,0.0,-1.57,0.0,-0.037299287,0.0,0.0,0.0,-0.009984881,0.0,0.785,0.0,-0.0796038,0.0,-1.57,0.0,-0.044285856,0.0,0.0,0.0,0.053845458,0.0,0.785,0.0,0.0074020065,0.0,-1.57,0.0,0.015068151,0.0,0.0,0.0,0.030908663,0.0,0.785,0.0,-0.022856629,0.0,-1.57,0.0
3,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06390828,0.06390828,0.0010225325,0.0010225325,-0.055581443,-0.055581443,0.7841107,-0.0008893013,-0.0037416443,-0.0037416443,-1.5700599,-5.9843063e-05,-0.037299287,-0.037299287,-0.0005967886,-0.0005967886,-0.009984881,-0.009984881,0.7848403,-0.00015974045,-0.0796038,-0.0796038,-1.5712737,-0.001273632,-0.044285856,-0.044285856,-0.0007085737,-0.0007085737,0.053845458,0.053845458,0.78586155,0.00086152554,0.0074020065,0.0074020065,-1.5698817,0.000118374825,0.015068151,0.015068151,0.00024109041,0.00024109041,0.030908663,0.030908663,0.78549457,0.00049453974,-0.022856629,-0.022856629,-1.5703658,-0.0003657341
4,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0010225325,-0.0008893013,-5.9843063e-05,-0.0005967886,-0.00015974045,-0.001273632,-0.0007085737,0.00086152554,0.000118374825,0.00024109041,0.00049453974,-0.0003657341,0.05112662,-0.044465158,-0.002993393,-0.02983943,-0.00798788,-0.06368313,-0.035428684,0.043076325,0.0059215543,0.012054521,0.024726963,-0.01828537,0.4693424,-0.4081902,-0.027479744,-0.27392596,-0.07332902,-0.5846116,-0.3252353,0.39544067,0.05436077,0.11066051,0.22699352,-0.16785927,0.06390828,-0.055581443,-0.0037416443,-0.037299287,-0.009984881,-0.0796038,-0.044285856,0.053845458,0.0074020065,0.015068151,0.030908663,-0.022856629,0.05057439,0.06390828,0.0029837498,0.0029837498,-0.056392647,-0.055581443,0.782405,-0.0025950074,-0.01572875,-0.0037416443,-1.5701747,-0.00017464161,-0.057607662,-0.037299287,-0.0017414291,-0.0017414291,-0.014073726,-0.009984881,0.78453386,-0.00046616793,-0.06918874,-0.0796038,-1.5737165,-0.0037164688,-0.03202741,-0.044285856,-0.0020676178,-0.0020676178,0.020602502,0.053845458,0.787514,0.002513945,-0.0080273505,0.0074020065,-1.5696546,0.00034546852,0.021336392,0.015068151,0.0007035018,0.0007035018,0.04347659,0.030908663,0.7864431,0.001443088,0.0027486482,-0.022856629,-1.5710672,-0.0010671616
5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0029837498,-0.0025950074,-0.00017464161,-0.0017414291,-0.00046616793,-0.0037164688,-0.0020676178,0.002513945,0.00034546852,0.0007035018,0.001443088,-0.0010671616,0.09806086,-0.08528417,-0.005741367,-0.057232026,-0.015320782,-0.12214429,-0.067952216,0.0826204,0.0113576315,0.02312057,0.047426313,-0.0350713,0.4144958,-0.3604894,-0.024268981,-0.24191539,-0.06475973,-0.5162956,-0.28722885,0.34922993,0.048009235,0.09772889,0.20046706,-0.14824346,0.06390828,-0.055581443,-0.0037416443,-0.037299287,-0.009984881,-0.0796038,-0.044285856,0.053845458,0.0074020065,0.015068151,0.030908663,-0.022856629,0.055236228,0.06390828,0.0057739588,0.0057739588,-0.05945848,-0.055581443,0.77997833,-0.0050216913,-0.01648447,-0.0037416443,-1.570338,-0.00033795834,-0.057049762,-0.037299287,-0.0033699004,-0.0033699004,-0.012216616,-0.009984881,0.7840979,-0.0009021163,-0.066582605,-0.0796038,-1.577192,-0.0071918964,-0.032555785,-0.044285856,-0.0040011196,-0.0040011196,0.019372735,0.053845458,0.78986484,0.004864812,-0.008580802,0.0074020065,-1.5693314,0.0006686449,0.019736532,0.015068151,0.001361371,0.001361371,0.046544738,0.030908663,0.78779256,0.0027925372,0.00073963637,-0.022856629,-1.5720651,-0.0020650625
6,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0057739588,-0.0050216913,-0.00033795834,-0.0033699004,-0.0009021163,-0.0071918964,-0.0040011196,0.004864812,0.0006686449,0.001361371,0.0027925372,-0.0020650625,0.13951044,-0.12133311,-0.008168265,-0.081423566,-0.021796755,-0.17377385,-0.0966751,0.117543384,0.016158555,0.03289346,0.06747302,-0.049895644,0.34912768,-0.30363798,-0.020442463,-0.20376411,-0.054546572,-0.434874,-0.24193136,0.29415455,0.040437948,0.08231654,0.16885252,-0.124864876,0.06390828,-0.055581443,-0.0037416443,-0.037299287,-0.009984881,-0.0796038,-0.044285856,0.053845458,0.0074020065,0.015068151,0.030908663,-0.022856629,0.060298063,0.06390828,0.009262423,0.009262423,-0.063574284,-0.055581443,0.7769444,-0.008055627,-0.017378747,-0.0037416443,-1.5705422,-0.00054216385,-0.056561437,-0.037299287,-0.0054059,-0.0054059,-0.009453714,-0.009984881,0.7835529,-0.0014471412,-0.06363287,-0.0796038,-1.5815371,-0.011537075,-0.032579992,-0.044285856,-0.0064184843,-0.0064184843,0.018293248,0.053845458,0.792804,0.0078039765,-0.008791553,0.0074020065,-1.5689274,0.0010726452,0.018119026,0.015068151,0.0021838732,0.0021838732,0.04955212,0.030908663,0.78947973,0.0044797063,-0.002259185,-0.022856629,-1.5733128,-0.003312707
7,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.009262423,-0.008055627,-0.00054216385,-0.0054059,-0.0014471412,-0.011537075,-0.0064184843,0.0078039765,0.0010726452,0.0021838732,0.0044797063,-0.003312707,0.1744232,-0.1516969,-0.010212512,-0.10179998,-0.027251413,-0.21726125,-0.120868236,0.14695884,0.02020235,0.041125115,0.08435827,-0.06238213,0.27585584,-0.2399131,-0.016153052,-0.16099992,-0.043098845,-0.34360746,-0.19115697,0.2324202,0.031952046,0.06504068,0.13341519,-0.09865932,0.06390828,-0.055581443,-0.0037416443,-0.037299287,-0.009984881,-0.0796038,-0.044285856,0.053845458,0.0074020065,0.015068151,0.030908663,-0.022856629,0.065583974,0.05057439,0.013089256,0.013089256,-0.0684891,-0.056392647,0.77341765,-0.011582375,-0.018434428,-0.01572875,-1.5709705,-0.0009704828,-0.056202803,-0.057607662,-0.008088833,-0.008088833,-0.00592627,-0.014073726,0.7828562,-0.0021438003,-0.060469076,-0.06918874,-1.5864029,-0.01640284,-0.032132845,-0.03202741,-0.009022027,-0.009022027,0.017442254,0.020602502,0.7956761,0.010676086,-0.008666042,-0.0080273505,-1.5687063,0.0012937784,0.016472697,0.021336392,0.0032367487,0.0032367487,0.05239556,0.04347659,0.7916348,0.006634772,-0.0061308495,0.0027486482,-1.5743481,-0.0043480396
8,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.013089256,-0.011582375,-0.0009704828,-0.008088833,-0.0021438003,-0.01640284,-0.009022027,0.010676086,0.0012937784,0.0032367487,0.006634772,-0.0043480396,0.19134167,-0.1763372,-0.021417394,-0.13414666,-0.0348324,-0.24328993,-0.13017717,0.14360651,0.011054148,0.052643776,0.10775409,-0.051763713,0.09949617,-0.17765477,-0.099593274,-0.26436663,-0.06087283,-0.16942026,-0.04677825,-0.077800915,-0.09044605,0.09258126,0.18777926,0.11744032,0.05057439,-0.056392647,-0.01572875,-0.057607662,-0.014073726,-0.06918874,-0.03202741,0.020602502,-0.0080273505,0.021336392,0.04347659,0.0027486482,0.07727201,0.055236228,0.01718967,0.01718967,-0.07552739,-0.05945848,0.76948655,-0.01551348,-0.030742027,-0.01648447,-1.5716102,-0.0016101599,-0.04729416,-0.057049762,-0.011291573,-0.011291573,-0.00056698546,-0.012216616,0.78206754,-0.002932489,-0.038624138,-0.066582605,-1.5915658,-0.021565795,-0.036632985,-0.032555785,-0.011727581,-0.011727581,0.027180018,0.019372735,0.798373,0.013372958,-0.0005656743,-0.008580802,-1.5686749,0.0013251305,0.009997521,0.019736532,0.0044491887,0.0044491887,0.050487954,0.046544738,0.79421455,0.00921452,-0.025738066,0.00073963637,-1.5751806,-0.0051805973
9,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.01718967,-0.01551348,-0.0016101599,-0.011291573,-0.002932489,-0.021565795,-0.011727581,0.013372958,0.0013251305,0.0044491887,0.00921452,-0.0051805973,0.20502076,-0.19655533,-0.03198135,-0.160137,-0.039433952,-0.25814703,-0.1352777,0.1348426,0.0015668478,0.060622014,0.12898658,-0.041627005,0.06434472,-0.12917462,-0.09012276,-0.19566445,-0.031095743,-0.058535207,-0.005166137,-0.12640701,-0.09063099,0.05639423,0.1604327,0.109619655,0.055236228,-0.05945848,-0.01648447,-0.057049762,-0.012216616,-0.066582605,-0.032555785,0.019372735,-0.008580802,0.019736532,0.046544738,0.00073963637,0.0828766,0.060298063,0.021499764,0.021499764,-0.081151225,-0.063574284,0.76523125,-0.019768775,-0.033391602,-0.017378747,-1.5724444,-0.0024443865,-0.047656763,-0.056561437,-0.014877828,-0.014877828,0.0027374513,-0.009453714,0.78126085,-0.0037391782,-0.034836784,-0.06363287,-1.5967987,-0.026798606,-0.035707828,-0.032579992,-0.014443854,-0.014443854,0.026550591,0.018293248,0.8007997,0.015799701,0.0031209998,-0.008791553,-1.5688282,0.0011718273,0.010155071,0.018119026,0.0057485374,0.0057485374,0.054116055,0.04955212,0.79716325,0.012163222,-0.030741027,-0.002259185,-1.5758419,-0.0058418512
