step,time,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,action_0,delayed_action_0,joint_pos_0,joint_pos_rel_0,action_1,delayed_action_1,joint_pos_1,joint_pos_rel_1,action_2,delayed_action_2,joint_pos_2,joint_pos_rel_2,action_3,delayed_action_3,joint_pos_3,joint_pos_rel_3,action_4,delayed_action_4,joint_pos_4,joint_pos_rel_4,action_5,delayed_action_5,joint_pos_5,joint_pos_rel_5,action_6,delayed_action_6,joint_pos_6,joint_pos_rel_6,action_7,delayed_action_7,joint_pos_7,joint_pos_rel_7,action_8,delayed_action_8,joint_pos_8,joint_pos_rel_8,action_9,delayed_action_9,joint_pos_9,joint_pos_rel_9,action_10,delayed_action_10,joint_pos_10,joint_pos_rel_10,action_11,delayed_action_11,joint_pos_11,joint_pos_rel_11
0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06605549,0.0,0.0,0.0,-0.052322112,0.0,0.785,0.0,-0.015614763,0.0,-1.57,0.0,-0.03828239,0.0,0.0,0.0,-0.038410164,0.0,0.785,0.0,-0.09305828,0.0,-1.57,0.0,-0.03618387,0.0,0.0,0.0,0.0220367,0.0,0.785,0.0,0.029469607,0.0,-1.57,0.0,0.023785982,0.0,0.0,0.0,0.08851905,0.0,0.785,0.0,-0.004364615,0.0,-1.57,0.0
1,0.02,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06605549,0.0,0.0,0.0,-0.052322112,0.0,0.785,0.0,-0.015614763,0.0,-1.57,0.0,-0.03828239,0.0,0.0,0.0,-0.038410164,0.0,0.785,0.0,-0.09305828,0.0,-1.57,0.0,-0.03618387,0.0,0.0,0.0,0.0220367,0.0,0.785,0.0,0.029469607,0.0,-1.57,0.0,0.023785982,0.0,0.0,0.0,0.08851905,0.0,0.785,0.0,-0.004364615,0.0,-1.57,0.0
2,0.04,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06605549,0.0,0.0,0.0,-0.052322112,0.0,0.785,0.0,-0.015614763,0.0,-1.57,0.0,-0.03828239,0.0,0.0,0.0,-0.038410164,0.0,0.785,0.0,-0.09305828,0.0,-1.57,0.0,-0.03618387,0.0,0.0,0.0,0.0220367,0.0,0.785,0.0,0.029469607,0.0,-1.57,0.0,0.023785982,0.0,0.0,0.0,0.08851905,0.0,0.785,0.0,-0.004364615,0.0,-1.57,0.0
3,0.06,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06605549,0.06605549,0.0010568878,0.0010568878,-0.052322112,-0.052322112,0.7841629,-0.00083714724,-0.015614763,-0.015614763,-1.5702499,-0.00024986267,-0.03828239,-0.03828239,-0.0006125182,-0.0006125182,-0.038410164,-0.038410164,0.78438544,-0.0006145835,-0.09305828,-0.09305828,-1.571489,-0.001488924,-0.03618387,-0.03618387,-0.0005789419,-0.0005789419,0.0220367,0.0220367,0.7853526,0.00035256147,0.029469607,0.029469607,-1.5695286,0.00047147274,0.023785982,0.023785982,0.0003805757,0.0003805757,0.08851905,0.08851905,0.78641635,0.0014163256,-0.004364615,-0.004364615,-1.5700699,-6.9856644e-05
4,0.08,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2,0.0010568878,-0.00083714724,-0.00024986267,-0.0006125182,-0.0006145835,-0.001488924,-0.0005789419,0.00035256147,0.00047147274,0.0003805757,0.0014163256,-6.9856644e-05,0.05284439,-0.04185772,-0.012491798,-0.030625913,-0.030728148,-0.07444668,-0.028947094,0.017629337,0.02357559,0.019028785,0.07081527,-0.003491783,0.48511153,-0.38425398,-0.114674285,-0.28114587,-0.28208408,-0.68342066,-0.26573434,0.16183773,0.21642455,0.17468426,0.6500839,-0.032054234,0.06605549,-0.052322112,-0.015614763,-0.03828239,-0.038410164,-0.09305828,-0.03618387,0.0220367,0.029469607,0.023785982,0.08851905,-0.004364615,0.0691419,0.06605549,0.0030839983,0.0030839983,-0.054605387,-0.052322112,0.7825572,-0.0024428368,-0.04646688,-0.015614763,-1.5707291,-0.000729084,-0.058638256,-0.03828239,-0.0017873282,-0.0017873282,-0.03642279,-0.038410164,0.7832067,-0.001793325,-0.066856615,-0.09305828,-1.5743448,-0.0043447018,-0.03011952,-0.03618387,-0.0016893524,-0.0016893524,-0.023759259,0.0220367,0.78602886,0.0010288358,0.02489671,0.029469607,-1.5686243,0.0013757944,0.018402416,0.023785982,0.0011105199,0.0011105199,0.12822211,0.08851905,0.78913283,0.0041328073,0.013436073,-0.004364615,-1.5702039,-0.00020384789
5,0.1,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2,0.0030839983,-0.0024428368,-0.000729084,-0.0017873282,-0.001793325,-0.0043447018,-0.0016893524,0.0010288358,0.0013757944,0.0011105199,0.0041328073,-0.00020384789,0.10135554,-0.08028312,-0.023959227,-0.0587405,-0.05893656,-0.14278874,-0.055520527,0.033813108,0.045218047,0.03649721,0.13582367,-0.0066972063,0.42842215,-0.33935025,-0.10127302,-0.24829158,-0.24912003,-0.6035572,-0.23468108,0.14292546,0.19113418,0.15427093,0.57411605,-0.028307661,0.06605549,-0.052322112,-0.015614763,-0.03828239,-0.038410164,-0.09305828,-0.03618387,0.0220367,0.029469607,0.023785982,0.08851905,-0.004364615,0.07212334,0.06605549,0.0059679532,0.0059679532,-0.058045067,-0.052322112,0.78027284,-0.004727185,-0.047568984,-0.015614763,-1.5714109,-0.001410842,-0.057311792,-0.03828239,-0.0034587213,-0.0034587213,-0.03376639,-0.038410164,0.7815297,-0.0034703016,-0.06394565,-0.09305828,-1.5784076,-0.008407593,-0.031111434,-0.03618387,-0.0032691252,-0.0032691252,-0.023760887,0.0220367,0.786991,0.001990974,0.026222741,0.029469607,-1.5673376,0.0026624203,0.018333398,0.023785982,0.002149006,0.002149006,0.12919523,0.08851905,0.79299754,0.007997513,0.011311138,-0.004364615,-1.5703945,-0.00039446354
6,0.12,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2,0.0059679532,-0.004727185,-0.001410842,-0.0034587213,-0.0034703016,-0.008407593,-0.0032691252,0.001990974,0.0026624203,0.002149006,0.007997513,-0.00039446354,0.14419776,-0.114218146,-0.03408653,-0.08356966,-0.08384856,-0.20314446,-0.078988634,0.048105653,0.064331464,0.051924303,0.19323528,-0.009527972,0.3608578,-0.28583318,-0.08530125,-0.20913474,-0.20983239,-0.5083731,-0.19767065,0.12038497,0.16099146,0.12994161,0.48357493,-0.023842428,0.06605549,-0.052322112,-0.015614763,-0.03828239,-0.038410164,-0.09305828,-0.03618387,0.0220367,0.029469607,0.023785982,0.08851905,-0.004364615,0.07513614,0.06605549,0.009573624,0.009573624,-0.06223271,-0.052322112,0.7774168,-0.007583201,-0.048306353,-0.015614763,-1.5722632,-0.0022631884,-0.056119088,-0.03828239,-0.005548384,-0.005548384,-0.030382011,-0.038410164,0.7794331,-0.0055669546,-0.061202057,-0.09305828,-1.5834873,-0.01348722,-0.031582072,-0.03618387,-0.0052442392,-0.0052442392,-0.023389393,0.0220367,0.7881939,0.0031938553,0.027892044,0.029469607,-1.565729,0.0042710304,0.018699195,0.023785982,0.0034473753,0.0034473753,0.12967888,0.08851905,0.7978294,0.012829363,0.008474166,-0.004364615,-1.5706328,-0.0006327629
7,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2,0.009573624,-0.007583201,-0.0022631884,-0.005548384,-0.0055669546,-0.01348722,-0.0052442392,0.0031938553,0.0042710304,0.0034473753,0.012829363,-0.0006327629,0.18028355,-0.14280146,-0.042616654,-0.104483135,-0.1048318,-0.25398177,-0.0987557,0.06014415,0.08043061,0.064918466,0.24159276,-0.011912215,0.28512418,-0.22584525,-0.067398645,-0.16524342,-0.16579433,-0.40168038,-0.1561853,0.09511961,0.12720414,0.102670625,0.38208658,-0.018837517,0.06605549,-0.052322112,-0.015614763,-0.03828239,-0.038410164,-0.09305828,-0.03618387,0.0220367,0.029469607,0.023785982,0.08851905,-0.004364615,0.07809064,0.0691419,0.013798925,0.013798925,-0.06695341,-0.054605387,0.7740726,-0.010927439,-0.04868754,-0.04646688,-1.573744,-0.0037440062,-0.0551317,-0.058638256,-0.0082942275,-0.0082942275,-0.026444767,-0.03642279,0.77703667,-0.007963359,-0.058679886,-0.066856615,-1.588951,-0.01895094,-0.031530265,-0.03011952,-0.007434694,-0.007434694,-0.022602746,-0.023759259,0.78885424,0.0038542151,0.029852858,0.02489671,-1.5639392,0.0060608387,0.019444335,0.018402416,0.004864949,0.004864949,0.12962854,0.12822211,0.80406064,0.019060612,0.004992778,0.013436073,-1.5706239,-0.0006238222
8,0.16,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2,0.013798925,-0.010927439,-0.0037440062,-0.0082942275,-0.007963359,-0.01895094,-0.007434694,0.0038542151,0.0060608387,0.004864949,0.019060612,-0.0006238222,0.21126509,-0.16721256,-0.07403818,-0.13729218,-0.11982136,-0.2731884,-0.10952275,0.03301938,0.08949273,0.07087868,0.31156382,0.00044467952,0.22671986,-0.17839763,-0.27481145,-0.26775232,-0.10405836,-0.095043756,-0.06723968,-0.26825112,0.057453193,0.033940814,0.56502515,0.11724745,0.0691419,-0.054605387,-0.04646688,-0.058638256,-0.03642279,-0.066856615,-0.03011952,-0.023759259,0.02489671,0.018402416,0.12822211,0.013436073,0.09798169,0.07212334,0.01852537,0.01852537,-0.07001258,-0.058045067,0.7703165,-0.014683545,-0.069902815,-0.047568984,-1.5757921,-0.0057920218,-0.04442085,-0.057311792,-0.011554353,-0.011554353,-0.017089978,-0.03376639,0.7744746,-0.010525405,-0.031681255,-0.06394565,-1.5945582,-0.024558187,-0.038496107,-0.031111434,-0.009775499,-0.009775499,-0.016159704,-0.023760887,0.7889781,0.0039780736,0.058734726,0.026222741,-1.5620133,0.007986784,0.019094117,0.018333398,0.0063492996,0.0063492996,0.13740923,0.12919523,0.81143755,0.026437521,-0.01886936,0.011311138,-1.5704145,-0.0004144907
9,0.18,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2,0.01852537,-0.014683545,-0.0057920218,-0.011554353,-0.010525405,-0.024558187,-0.009775499,0.0039780736,0.007986784,0.0063492996,0.026437521,-0.0004144907,0.23632222,-0.18780406,-0.102401085,-0.16300625,-0.12810203,-0.28036392,-0.117040254,0.006192934,0.09629892,0.07421754,0.3688448,0.010469404,0.1624197,-0.1355215,-0.2366794,-0.19212155,-0.037673604,0.021548688,-0.033963364,-0.25683296,0.033843644,0.007969618,0.42613897,0.09188558,0.07212334,-0.058045067,-0.047568984,-0.057311792,-0.03376639,-0.06394565,-0.031111434,-0.023760887,0.026222741,0.018333398,0.12919523,0.011311138,0.09997691,0.07513614,0.023624858,0.023624858,-0.07427455,-0.06223271,0.76622236,-0.018777668,-0.06991007,-0.048306353,-1.5783253,-0.008325219,-0.044589397,-0.056119088,-0.015179638,-0.015179638,-0.012942493,-0.030382011,0.77189136,-0.013108671,-0.03135425,-0.061202057,-1.6000786,-0.03007853,-0.035766445,-0.031582072,-0.012191761,-0.012191761,-0.013407456,-0.023389393,0.78859425,0.0035942197,0.062238116,0.027892044,-1.5599929,0.010007143,0.021085154,0.018699195,0.007855442,0.007855442,0.13497512,0.12967888,0.81967443,0.034674406,-0.022635167,0.008474166,-1.5700668,-6.67572e-05
