step,time,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,action_0,delayed_action_0,joint_pos_0,joint_pos_rel_0,action_1,delayed_action_1,joint_pos_1,joint_pos_rel_1,action_2,delayed_action_2,joint_pos_2,joint_pos_rel_2,action_3,delayed_action_3,joint_pos_3,joint_pos_rel_3,action_4,delayed_action_4,joint_pos_4,joint_pos_rel_4,action_5,delayed_action_5,joint_pos_5,joint_pos_rel_5,action_6,delayed_action_6,joint_pos_6,joint_pos_rel_6,action_7,delayed_action_7,joint_pos_7,joint_pos_rel_7,action_8,delayed_action_8,joint_pos_8,joint_pos_rel_8,action_9,delayed_action_9,joint_pos_9,joint_pos_rel_9,action_10,delayed_action_10,joint_pos_10,joint_pos_rel_10,action_11,delayed_action_11,joint_pos_11,joint_pos_rel_11
0,0.0,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061922647,0.0,0.0,0.0,-0.059183866,0.0,0.785,0.0,0.0042925403,0.0,-1.57,0.0,-0.034178026,0.0,0.0,0.0,0.0031752177,0.0,0.785,0.0,-0.07405909,0.0,-1.57,0.0,-0.04911261,0.0,0.0,0.0,0.08871029,0.0,0.785,0.0,-0.0042522475,0.0,-1.57,0.0,0.015934434,0.0,0.0,0.0,-0.015059091,0.0,0.785,0.0,-0.03838155,0.0,-1.57,0.0
1,0.02,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061922647,0.0,0.0,0.0,-0.059183866,0.0,0.785,0.0,0.0042925403,0.0,-1.57,0.0,-0.034178026,0.0,0.0,0.0,0.0031752177,0.0,0.785,0.0,-0.07405909,0.0,-1.57,0.0,-0.04911261,0.0,0.0,0.0,0.08871029,0.0,0.785,0.0,-0.0042522475,0.0,-1.57,0.0,0.015934434,0.0,0.0,0.0,-0.015059091,0.0,0.785,0.0,-0.03838155,0.0,-1.57,0.0
2,0.04,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061922647,0.0,0.0,0.0,-0.059183866,0.0,0.785,0.0,0.0042925403,0.0,-1.57,0.0,-0.034178026,0.0,0.0,0.0,0.0031752177,0.0,0.785,0.0,-0.07405909,0.0,-1.57,0.0,-0.04911261,0.0,0.0,0.0,0.08871029,0.0,0.785,0.0,-0.0042522475,0.0,-1.57,0.0,0.015934434,0.0,0.0,0.0,-0.015059091,0.0,0.785,0.0,-0.03838155,0.0,-1.57,0.0
3,0.06,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061922647,0.061922647,0.0009907623,0.0009907623,-0.059183866,-0.059183866,0.7840531,-0.000946939,0.0042925403,0.0042925403,-1.5699314,6.866455e-05,-0.034178026,-0.034178026,-0.00054684834,-0.00054684834,0.0031752177,0.0031752177,0.7850508,5.0783157e-05,-0.07405909,-0.07405909,-1.571185,-0.0011849403,-0.04911261,-0.04911261,-0.0007858018,-0.0007858018,0.08871029,0.08871029,0.7864194,0.0014193654,-0.0042522475,-0.0042522475,-1.5700681,-6.8068504e-05,0.015934434,0.015934434,0.00025495095,0.00025495095,-0.015059091,-0.015059091,0.7847591,-0.00024092197,-0.03838155,-0.03838155,-1.5706141,-0.00061404705
4,0.08,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.2,0.0009907623,-0.000946939,6.866455e-05,-0.00054684834,5.0783157e-05,-0.0011849403,-0.0007858018,0.0014193654,-6.8068504e-05,0.00025495095,-0.00024092197,-0.00061404705,0.049538117,-0.04734707,0.0034339903,-0.027342418,0.0025402068,-0.059247207,-0.03929009,0.07096825,-0.0034017563,0.012747548,-0.012047291,-0.03070526,0.45475993,-0.43464613,0.03152428,-0.25100344,0.023319434,-0.5438894,-0.36068302,0.6514885,-0.031227589,0.11702248,-0.11059451,-0.28187522,0.061922647,-0.059183866,0.0042925403,-0.034178026,0.0031752177,-0.07405909,-0.04911261,0.08871029,-0.0042522475,0.015934434,-0.015059091,-0.03838155,0.04157167,0.061922647,0.0028910444,0.0028910444,-0.060671724,-0.059183866,0.7822369,-0.0027631521,0.013341583,0.0042925403,-1.5697997,0.00020039082,-0.06268774,-0.034178026,-0.0015957034,-0.0015957034,-0.002824586,0.0031752177,0.78514826,0.00014823675,-0.079756975,-0.07405909,-1.5734577,-0.0034576654,-0.027174082,-0.04911261,-0.0022929697,-0.0022929697,0.0680206,0.08871029,0.7891417,0.0041416883,-0.029875493,-0.0042522475,-1.5701987,-0.00019860268,0.027428769,0.015934434,0.0007439469,0.0007439469,-0.022420928,-0.015059091,0.784297,-0.0007030368,-0.01251783,-0.03838155,-1.571792,-0.001791954
5,0.1,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.2,0.0028910444,-0.0027631521,0.00020039082,-0.0015957034,0.00014823675,-0.0034576654,-0.0022929697,0.0041416883,-0.00019860268,0.0007439469,-0.0007030368,-0.001791954,0.09501411,-0.090811685,0.0065864176,-0.05244276,0.0048721503,-0.11363615,-0.07535839,0.1361171,-0.0065245153,0.024449795,-0.023106743,-0.058892783,0.40161738,-0.38385442,0.027840441,-0.22167158,0.020594206,-0.48033136,-0.31853417,0.5753569,-0.027577663,0.10334742,-0.09767095,-0.24893495,0.061922647,-0.059183866,0.0042925403,-0.034178026,0.0031752177,-0.07405909,-0.04911261,0.08871029,-0.0042522475,0.015934434,-0.015059091,-0.03838155,0.046685517,0.061922647,0.0055945613,0.0055945613,-0.06369754,-0.059183866,0.77965295,-0.005347073,0.012559302,0.0042925403,-1.5696123,0.00038778782,-0.062410686,-0.034178026,-0.0030879017,-0.0030879017,-0.0016053468,0.0031752177,0.7852869,0.00028687716,-0.07644504,-0.07405909,-1.5766912,-0.006691098,-0.02759599,-0.04911261,-0.004437206,-0.004437206,0.06562098,0.08871029,0.79301476,0.008014739,-0.03259215,-0.0042522475,-1.5703843,-0.00038421154,0.024479393,0.015934434,0.0014396376,0.0014396376,-0.01850437,-0.015059091,0.7836395,-0.0013605356,-0.013985528,-0.03838155,-1.5734677,-0.003467679
6,0.12,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.2,0.0055945613,-0.005347073,0.00038778782,-0.0030879017,0.00028687716,-0.006691098,-0.004437206,0.008014739,-0.00038421154,0.0014396376,-0.0013605356,-0.003467679,0.13517585,-0.12919712,0.009370461,-0.07460992,0.006931571,-0.16166928,-0.107211806,0.1936528,-0.009282282,0.034784537,-0.03287384,-0.08378628,0.33828026,-0.32331896,0.02345007,-0.18671283,0.01734625,-0.40457988,-0.26829967,0.48462024,-0.023229036,0.08704901,-0.08226742,-0.2096766,0.061922647,-0.059183866,0.0042925403,-0.034178026,0.0031752177,-0.07405909,-0.04911261,0.08871029,-0.0042522475,0.015934434,-0.015059091,-0.03838155,0.05227408,0.061922647,0.008974639,0.008974639,-0.06777887,-0.059183866,0.7764224,-0.008577645,0.011303611,0.0042925403,-1.5693779,0.0006221533,-0.062003266,-0.034178026,-0.004953526,-0.004953526,0.0005560145,0.0031752177,0.78546023,0.00046020746,-0.07236125,-0.07405909,-1.5807337,-0.010733604,-0.02757185,-0.04911261,-0.007118041,-0.007118041,0.06322132,0.08871029,0.79785705,0.01285702,-0.03505985,-0.0042522475,-1.5706164,-0.000616312,0.021231305,0.015934434,0.0023094264,0.0023094264,-0.014356863,-0.015059091,0.7828175,-0.0021825433,-0.016496954,-0.03838155,-1.5755628,-0.0055627823
7,0.14,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.2,0.008974639,-0.008577645,0.0006221533,-0.004953526,0.00046020746,-0.010733604,-0.007118041,0.01285702,-0.000616312,0.0023094264,-0.0021825433,-0.0055627823,0.16900387,-0.16152902,0.011715468,-0.0932812,0.008666196,-0.20212728,-0.13404177,0.24211481,-0.011605185,0.043489438,-0.04110058,-0.10475394,0.26728505,-0.25546387,0.018527718,-0.14752719,0.013705651,-0.31967077,-0.21199134,0.38291273,-0.018353978,0.06877992,-0.06500193,-0.16567113,0.061922647,-0.059183866,0.0042925403,-0.034178026,0.0031752177,-0.07405909,-0.04911261,0.08871029,-0.0042522475,0.015934434,-0.015059091,-0.03838155,0.05812527,0.04157167,0.012563671,0.012563671,-0.07262995,-0.060671724,0.7726571,-0.01234293,0.009546898,0.013341583,-1.5689617,0.0010383129,-0.061521526,-0.06268774,-0.00757036,-0.00757036,0.0035012327,-0.002824586,0.78556496,0.0005649328,-0.0677626,-0.079756975,-1.5855067,-0.015506625,-0.027134158,-0.027174082,-0.009871842,-0.009871842,0.060933035,0.0680206,0.80313414,0.018134117,-0.03716776,-0.029875493,-1.5712951,-0.0012950897,0.017768998,0.027428769,0.0035006844,0.0035006844,-0.010036765,-0.022420928,0.7817477,-0.0032523274,-0.019920653,-0.01251783,-1.5775754,-0.0075753927
8,0.16,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.2,0.012563671,-0.01234293,0.0010383129,-0.00757036,0.0005649328,-0.015506625,-0.009871842,0.018134117,-0.0012950897,0.0035006844,-0.0032523274,-0.0075753927,0.1794516,-0.18826568,0.020807581,-0.13084169,0.005236918,-0.23865274,-0.13769008,0.2638543,-0.033939242,0.0595629,-0.053490188,-0.100630134,0.04182882,-0.19375378,0.079716526,-0.3149553,-0.034253743,-0.27062345,0.009401863,0.122091636,-0.20131306,0.13363776,-0.10058473,0.07137792,0.04157167,-0.060671724,0.013341583,-0.06268774,-0.002824586,-0.079756975,-0.027174082,0.0680206,-0.029875493,0.027428769,-0.022420928,-0.01251783,0.0632337,0.046685517,0.016318182,0.016318182,-0.08091847,-0.06369754,0.76845586,-0.016544163,0.0019002333,0.012559302,-1.5683987,0.0016013384,-0.05441728,-0.062410686,-0.010812671,-0.010812671,0.0067545734,-0.0016053468,0.7856207,0.00062066317,-0.048821844,-0.07644504,-1.590768,-0.020767927,-0.027337931,-0.02759599,-0.012613591,-0.012613591,0.07298382,0.06562098,0.808617,0.02361697,-0.048769403,-0.03259215,-1.57242,-0.0024199486,0.0040917923,0.024479393,0.004912028,0.004912028,-0.016058765,-0.01850437,0.7805394,-0.004460633,-0.029846659,-0.013985528,-1.5794687,-0.009468675
9,0.18,0.0,0.0,-0.14,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.2,0.016318182,-0.016544163,0.0016013384,-0.010812671,0.00062066317,-0.020767927,-0.012613591,0.02361697,-0.0024199486,0.004912028,-0.004460633,-0.009468675,0.18772556,-0.21006177,0.028153433,-0.16211557,0.0027868666,-0.26306558,-0.13708742,0.27414382,-0.05624378,0.070567176,-0.06041546,-0.0946665,0.018530458,-0.13984312,0.06077718,-0.24522495,-0.024167176,-0.1477412,0.049593247,0.010024726,-0.1938954,0.081959106,-0.046457194,0.08694698,0.046685517,-0.06369754,0.012559302,-0.062410686,-0.0016053468,-0.07644504,-0.02759599,0.06562098,-0.03259215,0.024479393,-0.01850437,-0.013985528,0.069987446,0.05227408,0.02019917,0.02019917,-0.087605566,-0.06777887,0.76390964,-0.021090388,-0.0028865263,0.011303611,-1.5677342,0.002265811,-0.05396683,-0.062003266,-0.014538914,-0.014538914,0.008942921,0.0005560145,0.78566265,0.00066262484,-0.04084012,-0.07236125,-1.5962595,-0.026259422,-0.027727097,-0.02757185,-0.015255766,-0.015255766,0.069650605,0.06322132,0.81408155,0.029081523,-0.04683127,-0.03505985,-1.5739721,-0.0039720535,0.0019668718,0.021231305,0.0064353202,0.0064353202,-0.009039491,-0.014356863,0.7793045,-0.005695522,-0.035655748,-0.016496954,-1.5812284,-0.011228323
